question,answer,document
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?, Недостаточно данных в нормативной базе для ответа на вопрос о максимальном числе баллов по показателю 'цена' согласно ГОСТ МДС 80-3.2000.,"['Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?"," Заявление о усыновлении иностранным гражданам или лицам без гражданства, состоящим в браке с гражданами России, подается соответственно в высший суд республики, краевой, областной суд, суд города федерального значения, суд автономной области и суд автономного округа по месту жительства или месту нахождения усыновляемого ребенка.

К заявлению должны быть приложены документы, указанные в части первой статьи 232 Гражданского процессуального кодекса России: документ о постановке на учет гражданина в качестве кандидата в усыновители; документ о прохождении в установленном порядке подготовки лиц, желающих принять на воспитание в свою семью ребенка, оставшегося без попечения родителей, за исключением случаев подачи заявления об усыновлении ребенка отчимом или мачехой, близкими родственниками ребенка, лицами, которые являются или являлись усыновителями и в отношении которых усыновление не было отменено, и лицами, которые являются или являлись опекунами, попечителями детей и которые не были отстранены от исполнения возложенных на них обязанностей.

К заявлению дополнительно должны быть приложены документы, указывающие на то, что супруги состоят в браке, а также документ, подтверждающий право пользования жилым помещением или право собственности на жилое помещение.

За иностранными гражданами и лицами без гражданства, если иное не предусмотрено международным договором Российской Федерации, расходы на оплату услуг переводчика должны быть понесены.","['Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
Что такое коллективный трудовой спор?," Коллективный трудовой спор - это спор между работодателем и представителями работников, который касается вопросов, урегулированных коллективным договором или другими нормативными правовыми актами, содержащими нормы трудового права.","['Трудовой кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?," ""Конкурс, избрание или назначение на должность и другие""",['Трудовой кодекс Российской Федерации']
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?"," Налог уплачивается в полном объеме, если при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления не предусмотрен иное (настоящий пункт 1.1 статьи 141 Налогового кодекса России).",['Налоговый кодекс Российской Федерации']
Что такое государственная собственность в Российской Федерации?," ""Государственная собственность"" - это земельные участки, которые переданы органами государственной власти или Государственной корпорацией по атомной энергии ""Росатом"", Государственной корпорации по космической деятельности ""Роскосмос"", органами управления государственными внебюджетными фондами или органами местного самоуправления на основании соглашений своих полномочия государственного (муниципального) заказчика земельного участка.
(Справочник: Градостроительный кодекс России, статья 5)","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?, Недостаточно данных в нормативной базе,"['Жилищный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?"," 18-6. Наложение административного штрафа на граждан в размере от одной тысячи до двух тысяч пятисот рублей; на должностных лиц - от десяти тысяч до пятнадцати тысяч рублей; на юридических лиц - от пятидесяти тысяч до пятисот тысяч рублей.
question,answer,document
""What is the punishment for not presenting or delaying in presenting information as required by antimonopoly legislation in Russia?"", ""18-6. Наложение административного штрафа на граждан в размере от одной тысячи до двух тысяч пятисот рублей; на должностных лиц - от десяти тысяч до пятнадцати тысяч рублей; на юридических лиц - от пятидесяти тысяч до пятисот тысяч рублей."", ""LAW: Административный кодекс Российской Федерации, ARTICLE: 18""",['Административный кодекс Российской Федерации']
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?"," Недостаточно данных в нормативной базе. Полное определение участков трубопроводов, подлежащих замене, содержится в ГОСТ МДС 13-18.2000 ""Подземные магистральные газопроводы. Срок службы и технические условия смены труб"", но ответ невозможно дать, так как в предоставленном контексте не приведены какие-либо подробности или определение того, к каким конкретным видам трубопроводов имеет отношение спрашиваемый документ.","['Трудовой кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие примеры нематериальных активов приведены в тексте?," Нематериальные активы, приведенные в тексте:

1. Исключительное право патентообладателя на изобретение, промышленный образец, полезную модель;
2. Исключительное право автора и иного правообладателя на использование программы для ЭВМ, базы данных;
3. Исключительное право автора или иного правообладателя на использование топологии интегральных микросхем;
4. Исключительное право на товарный знак, знак обслуживания, наименование места происхождения товаров и фирменное наименование;
5. Исключительное право патентообладателя на селекционные достижения;
6. Владение ""ноу-хау"", секретной формулой или процессом, информацией в отношении промышленного, коммерческого или научного опыта;
7. Исключительное право на аудиовизуальные произведения.","['Налоговый кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации']"
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?," Ответ строго по контексту:
""Недостаточно данных в нормативной базе относительно компенсации ущерба Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000.""","['Трудовой кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?," Отсутствуют данные в нормативной базе о том, что форма 5 должна содержать информацию об инвентарном номере и каталожном листе.","['Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации']"
Что такое заключение под стражу?," Заключение под стражу - это меры пресечения, применяемая судебным решением в отношении подозреваемого или обвиняемого в совершении преступлений, за которые уголовным законом предусмотрено наказание в виде лишения свободы на срок свыше трех лет. При избрании меры пресечения в виде заключения под стражу в постановлении судьи должны быть указаны конкретные, фактические обстоятельства, на основании которых судья принял такое решение. В уголовно-процессуальном кодексе России содержится описание конкретных случаев и сроков для избрания заключения под стражу в качестве меры пресечения, а также процедуру его вынесения судом.","['Гражданский кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?", Недостаточно данных в нормативной базе.,"['Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?," Патентообладатель обязан доплатить пошлину за поддержание патента в силе за период, прошедший со дня публикации сведений об открытой лицензии, и в дальнейшем уплачивать ее в полном размере. (Цитата из статьи 1246 Гражданского кодекса России)","['Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?, Недостаточно данных в нормативной базе для установления требований к площади бетоносмесителей согласно ГОСТ МДС-80-8.2000.,"['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?," Определение затрат на получение исходных данных и согласование по проектным решениям не приводится в МДС 81-30.2002. Данная нормативная база относится к стандартам, устанавливающим требования к обеспечению безопасности жизнедеятельности человека при проектировании, и не включает определения по вопросам организации финансовых расходов.","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?," ""Нарушение требований лесного законодательства по воспроизводству лесов и лесоразведению"" - относится к категории нарушений законодательства об охране здоровья граждан в соответствии с статьей 8.27 Административного кодекса России.
Также к этой категории относятся:
- Нарушение установленных правил в сфере обращения медицинских изделий (Статья 6.32 Административного кодекса)
- Нарушение требований законодательства в сфере охраны здоровья при проведении искусственного прерывания беременности (Статья 6.32 Административного кодекса)
- Несоблюдение лицом, в отношении которого установлен административный надзор, административных ограничений или ограничений, установленных ему судом в соответствии с федеральным законом (Статья 18.1 Административного кодекса)
- Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия населения (Статья 6.3 Административного кодекса).","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?, Недостаточно данных в нормативной базе,"['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какой телефон указан для бесплатной юридическая консультации в регионах России?, 8 (800) 301-92-12 (Регионы РФ),"['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
В каких условиях содержатся осужденные к аресту?," Осужденные к аресту содержатся в местах, которые называются специальными учреждениями, исключающими возможность самовольного оставления их, например колония-поселение или стационарное медицинское учреждение, предоставляющее психиатрическую помощь.","['Гражданский кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?," В соответствии с текстом закона Административный кодекс России, статья 14:
""2. В случае добровольного представления лицом, осуществляющим предпринимательскую деятельность без образования юридического лица, или юридическим лицом в таможенный орган, осуществивший регистрацию статистической формы учета перемещения товаров, содержащей недостоверные сведения, заявления об аннулировании этой статистической формы учета перемещения товаров с одновременным представлением новой статистической формы учета перемещения товаров, содержащей достоверные сведения, лицо, совершившее административное правонарушение, предусмотренное настоящей статьей,

освобождается от административной ответственности за указанное правонарушение, если на дату, предшествовавшую дате поступления заявления об аннулировании статистической формы учета перемещения товаров и регистрации новой статистической формы учета перемещения товаров, таможенный орган не выявил административное правонарушение в соответствии с настоящим Кодексом, предметом по которому являются сведения о товарах, указанные в заявлении об аннулировании статистической формы учета перемещения товаров.""

Таким образом, таможенный орган может отказаться в выпуске товаров при предварительном декларировании, если новая заявленная статистическая форма учета перемещения товаров содержит недостоверные сведения и таможенный орган выявил административное правонарушение в соответствии с настоящим Кодексом, предметом по которому являются сведения о товарах.","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Что такое процессуальное решение по определению статьи 33?," Процессуальное решение - это любое судебное постановление, приемлемое в ходе проведения административного дела, согласно Гражданскому процессуальному кодексу Россииской Федерации (статья 33).

Источник: https://gpkodeksrf.ru/n1028949202/","['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Что означает знак 5.22?," Знак 5.22 относится к статье Административного кодекса России, которая регулирует наказания за некоторые виды поведения в общественных местах. Конкретно, статья 5.22 определяет наказание за содержание в себе алкоголь и (или) наркотические средства (за исключением тех случаев, когда такое поведение является основанием для уголовного преследования).","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие ГОСТы или СНиПы регламентируют расчет затрат на эксплуатацию строительных машин?," Недостаточно данных в нормативной базе для ответа на вопрос о ГОСТах или СНиПах, регламентирующих расчет затрат на эксплуатацию строительных машин.","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие требования МДС 14-13.2000 предъявляет к площади прочих помещений?," Ответ:
""Недостаточно данных в нормативной базе для точного ответа на вопрос о требованиях МДС 14-13.2000 к площади прочих помещений.""","['Налоговый кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие преступления относятся к уголовным делам частного обвинения?," Уголовные дела о преступлениях, указанных в части второй статьи 20 настоящего Кодекса (Уголовно-процессуального кодекса России) относятся к уголовным делам частного обвинения.",['Уголовно-процессуальный кодекс Российской Федерации']
Какие министерства и ведомства утверждают ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000?," Ответ: Федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере здравоохранения утверждает ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000.

Документы:

1. Административный кодекс Российской Федерации, статья 27.6.1
2. Налоговый кодекс Российской Федерации, статья 333.4
3. ГОСТ МДС 81-8.2000","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какие разделы включены в проектные работы для трибун с подтрибунными помещениями согласно СНиП?," Подробной информации о требованиях к проектным работам, касающимся трибун с подтрибунными помещениями, в СНиП нет. Следовательно, невозможно ответить на данный вопрос.
""Недостаточно данных в нормативной базе"".","['Жилищный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какой метод следует использовать для измерения крена зданий и сооружений сложной геометрической формы в СНиП 3.01.03-84?," Недостаточно данных в нормативной базе для выявления конкретного метода, используемого для измерения крена зданий и сооружений сложной геометрической формы в СНиП 3.01.03-84.","['Трудовой кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
Какие операции включаются в управление остатками средств на едином счете бюджета территориального внебюджетного фонда?," Ответим строго по контексту:
Недостаточно данных в нормативной базе для точного ответа на ваш вопрос.","['Жилищный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Что включается в состав обосновывающих материалов к сводному расчету затрат российских организаций в смешанных ценах?," Сведения о документально подтвержденных фактических затратах на приобретение товаров (работ, услуг), включая основные средства и нематериальные активы, должны быть включены в состав обосновывающих материалов к сводному расчету затрат российских организаций в смешанных ценах. Это согласуется с пунктами 2 и 3 статьи 272 Налогового кодекса Российской Федерации.",['Налоговый кодекс Российской Федерации']
