question,answer,source,page
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?","Комментарии к статьям на сайте 
https://zkodeksrf.ru/ 
 
 
 
 
или земельный участок образован из земельного участка, в отношении которого с другим лицом заключен 
договор о комплексном развитии территории, за исключением случаев, если такой земельный участок 
предназначен для размещения объектов федерального значения, объектов регионального значения или 
объектов местного значения и с заявлением о предоставлении такого земельного участка обратилось лицо, 
уполномоченное на строительство указанных объектов; 
10) указанный в заявлении о предоставлении земельного участка земельный участок образован из 
земельного участка, в отношении которого заключен договор о комплексном развитии территории, и в 
соответствии с утвержденной документацией по планировке территории предназначен для размещения 
объектов федерального значения, объектов регионального значения или объектов местного значения, за 
исключением случаев, если с заявлением о предоставлении в аренду земельного участка обратилось лицо, 
с которым заключен договор о комплексном развитии территории, предусматривающий обязательство 
данного лица по строительству указанных объектов; 
11) указанный в заявлении о предоставлении земельного участка земельный участок является предметом 
аукциона, извещение о проведении которого размещено в соответствии с пунктом 19 статьи 39.11 
настоящего Кодекса; 
12) в отношении земельного участка, указанного в заявлении о его предоставлении, поступило 
предусмотренное подпунктом 6 пункта 4 статьи 39.11 настоящего Кодекса заявление о проведении 
аукциона по его продаже или аукциона на право заключения договора его аренды при условии, что такой 
земельный участок образован в соответствии с подпунктом 4 пункта 4 статьи 39.11 настоящего Кодекса и 
уполномоченным органом не принято решение об отказе в проведении этого аукциона по основаниям, 
предусмотренным пунктом 8 статьи 39.11 настоящего Кодекса; 
13) в отношении земельного участка, указанного в заявлении о его предоставлении, опубликовано и 
размещено в соответствии с подпунктом 1 пункта 1 статьи 39.18 настоящего Кодекса извещение о 
предоставлении земельного участка для индивидуального жилищного строительства, ведения личного 
подсобного хозяйства, ведения гражданами садоводства для собственных нужд или осуществления 
крестьянским (фермерским) хозяйством его деятельности; 
14) разрешенное использование земельного участка не соответствует целям использования такого 
земельного участка, указанным в заявлении о предоставлении земельного участка, за исключением 
случаев размещения линейного объекта в соответствии с утвержденным проектом планировки 
территории; 
14.1) испрашиваемый земельный участок полностью расположен в границах зоны с особыми условиями 
использования территории, установленные ограничения использования земельных участков в которой не 
допускают использования земельного участка в соответствии с целями использования такого земельного 
участка, указанными в заявлении о предоставлении земельного участка; 
15) испрашиваемый земельный участок не включен в утвержденный в установленном Правительством 
Российской Федерации порядке перечень земельных участков, предоставленных для нужд обороны и 
безопасности и временно не используемых для указанных нужд, в случае, если подано заявление о 
предоставлении земельного участка в соответствии с подпунктом 10 пункта 2 статьи 39.10 настоящего 
Кодекса; 
16) площадь земельного участка, указанного в заявлении о предоставлении земельного участка 
садоводческому или огородническому некоммерческому товариществу, превышает предельный размер, 
установленный пунктом 6 статьи 39.10 настоящего Кодекса;",Земельный кодекс Российской Федерации.pdf,71
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000),"ПРИЛОЖЕНИЕ 3
ОСНОВНЫЕ ТРЕБОВАНИЯ К ЗАДАНИЮ НА РАЗРАБОТКУ СХЕМЫ И ПРОЕКТА
РАЙОННОЙ ПЛАНИРОВКИ, ГЕНЕРАЛЬНОГО ПЛАНА ГОРОДА, ДРУГОГО
ПОСЕЛЕНИЯ, ТЕРРИТОРИИ СЕЛЬСКОГО ОРГАНА МЕСТНОГО
САМОУПРАВЛЕНИЯ
В задании на разработку схемы и проекта районной планировки, генерального плана
города, другого поселения, территории сельского органа моечного самоуправления должны
быть указаны:
наименование объекта, его основные характеристики (местоположение, численность
населения, территория, основные виды ресурсов, профилирующие отрасли производства,
административная 
структура, 
условия 
обеспечения 
инженерно-транспортной
инфраструктурой, другие специфические характеристики);
основание для проектирования;
состав 
участников 
разработки 
и 
согласования 
проектных 
материалов 
и 
их
взаимообязательства;
кем и в какие сроки должны выдаваться исходные данные для проектирования;
состав 
подлежащих 
передаче 
материалов 
и 
услуг 
по 
этапам 
(если 
они
предусматриваются), сроки и стоимость работ;
требования к содержанию и форме представляемых материалов, сроки проектирования;",Data1_1_1904_index.pdf,27
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?,"________________________________                   ________________________________
дата                                                                                          дата
ПРИЛОЖЕНИЕ 2
СОГЛАШЕНИЕ
о недопущении конкуренции со стороны работника
Форма 1
При поступлении на работу по найму в
___________________________________________________________________________
наименование организации
я, нижеподписавший(ая)ся, обязуюсь по окончании срока найма и независимо от
причин его окончания не конкурировать с организацией, а также с ее преемниками и
правопреемниками.",Data1_10_10872_index.pdf,8
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?","Федеральный орган исполнительной власти, осуществляющий федеральный государственный надзор за 
соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы 
трудового права, рассматривает дела об административных правонарушениях, предусмотренных 
частями 1, 3, 4 и 6 статьи 5.27, частями 1 - 4 статьи 5.27.1, статьями 5.28 - 5.34, частью 1 статьи 14.54, частью 
2 статьи 15.33.2, статьей 15.34 настоящего Кодекса.",Административный кодекс Российской Федерации.pdf,466
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?","Выполнить дополнительное
утепление конструкций по
решению
специализированной
организации в период
подготовки домов к зиме
СНиП II-22-81
СНиП 2.08.01-89
Промерзание кирпичных
стен
В кирпичных стенах
проверяется:
- правильное расположение
гидроизоляции стен;
- толщина в соответствии с
проектом;
- не допускается
воздухонепроницаемая
облицовка стен снаружи и
выполнение угловых
соединений с отступлением
от проекта
Выполнить просушку стен.",Data1_10_10861_index.pdf,17
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?,"Если у заказчика на строительство объектов основным критерием оценки
оферт является цена, то максимальное число баллов по этому показателю
рекомендуется устанавливать в размере до 800 баллов.",Data1_10_10869_index.pdf,4
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?","Дети могут быть переданы на усыновление гражданам Российской Федерации, постоянно 
проживающим за пределами территории Российской Федерации, иностранным гражданам или 
лицам без гражданства, не являющимся родственниками детей, по истечении двенадцати месяцев 
со дня поступления сведений о таких детях в федеральный банк данных о детях, оставшихся без 
попечения родителей, в соответствии с пунктом 3 статьи 122 настоящего Кодекса.",Семейный кодекс Российской Федерации.pdf,36
Что такое коллективный трудовой спор?,"Требования (копия требований) могут быть направлены (может быть направлена) в соответствующий 
государственный орган по урегулированию коллективных трудовых споров, в том числе в форме 
электронного документа.",Трудовой кодекс Российской Федерации.pdf,245
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?,"С заместителями руководителей государственных и муниципальных научных организаций, 
руководителями их филиалов заключаются срочные трудовые договоры, сроки действия которых не могут 
превышать сроки полномочий руководителей указанных организаций.",Трудовой кодекс Российской Федерации.pdf,197
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?","Особенности исчисления и уплаты ввозных таможенных пошлин, налогов, 
специальных, 
антидемпинговых, 
компенсационных 
пошлин 
в 
отношении 
продуктов переработки при их помещении под таможенную процедуру выпуска для 
внутреннего потребления 
1.",Таможенный кодекс Евразийского экономического союза.pdf,216
Что такое государственная собственность в Российской Федерации?,"В субъектах Российской Федерации - городах федерального значения Москве, Санкт-Петербурге, 
Севастополе земельный участок, от права собственности на который собственник отказался, является с 
даты государственной регистрации прекращения права собственности на него собственностью 
соответственно субъекта Российской Федерации - города федерального значения Москвы, субъекта 
Российской Федерации - города федерального значения Санкт-Петербурга, субъекта Российской 
Федерации - города федерального значения Севастополя, если законами указанных субъектов Российской 
Федерации не установлено, что такой земельный участок является собственностью муниципальных 
образований, находящихся на территориях указанных субъектов Российской Федерации.",Земельный кодекс Российской Федерации.pdf,19
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?","Таблица 2
Способ прокладки
тепловых сетей
Материалы для защитного гидроизоляционного покрытия теплоизоляционных
конструкций
рекомендуемые к
применению
ГОСТ, ТУ
допускаемые к
применению
ГОСТ, ТУ
Подземный 
в
непроходных каналах и
тоннелях
Армопластмассовые
материалы АПП-1,
АПМ-2, АПМ-К
ТУ-362168-85 Стеклотекстолит
покрывной
Материал СТПЛ
ТУ 36-1583-83
Стеклорубероид
ГОСТ 15879-70
Стеклопластик
рулонный 
для
теплоизоляции РСТ
ТУ-6-11-145-8 Фольгоизол**
ГОСТ 20429-84
Пленка 
винипластовая
каландрированная
КПО**
ГОСТ 16398-81
Рубероид*
ГОСТ 10923-82
Подземный 
в
непроходных каналах и
тоннелях
 
 
Фольга 
алюминиевая
дублированная 
для
теплоизоляционных
конструкций
ТУ 36-1177-77
 
 
Штукатурка
асбестоцементная 
по
металлической 
сетке
(при небольших объемах
работ)
* Применять только для прокладки в непроходных каналах.",Data1_10_10852_index.pdf,16
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?,"ГОССТРОЙ РОССИИ
М Е Т О Д И Ч Е С К И Е  Р Е К О М Е Н Д А Ц И И
ПО РАЗРАБОТКЕ
ТЕХНИЧЕСКОЙ ЧАСТИ
ТЕНДЕРНОЙ ДОКУМЕНТАЦИИ
И ОФЕРТЫ ПРЕТЕНДЕНТА
МДС-80-8.2000
МОСКВА 2000
Методические 
рекомендации 
по 
разработке 
технической 
части 
тендерной 
документации
предназначены 
для 
всех 
субъектов 
инвестиционной 
деятельности: 
заказчиков 
(инвесторов),
организаторов торгов, тендерных комитетов всех уровней, подрядных и субподрядных организаций,
представленных в качестве претендентов и оферентов, консалтинговых, инженерно-консультационных,
финансовых, страховых и иных организаций, в том числе иностранных партнеров, участвующих в
подрядных торгах на территории Российской Федерации, а также университетов и институтов
повышения квалификации руководящих работников и специалистов организаций вне зависимости от
видов и форм собственности.",Data1_10_10865_index.pdf,1
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?","Ненаправление, несвоевременное направление в орган, уполномоченный на осуществление контроля в 
сфере закупок, информации, подлежащей включению в реестр недобросовестных поставщиков 
(подрядчиков, исполнителей), или непредставление, несвоевременное представление в федеральный 
орган исполнительной власти, орган исполнительной власти субъекта Российской Федерации, орган 
местного самоуправления, уполномоченные на ведение реестра контрактов, заключенных заказчиками, 
реестра контрактов, содержащего сведения, составляющие государственную тайну, информации 
(сведений) и (или) документов, подлежащих включению в такие реестры контрактов, если направление, 
представление указанных информации (сведений) и (или) документов являются обязательными в 
соответствии с законодательством Российской Федерации о контрактной системе в сфере закупок, или 
представление, направление недостоверной информации (сведений) и (или) документов, содержащих 
недостоверную информацию, - 
влечет наложение административного штрафа на должностных лиц в размере двадцати тысяч рублей.",Административный кодекс Российской Федерации.pdf,97
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?","Программа «Ресурс-2» позволяет с высокой точностью выявлять отдельные участки
тепловых сетей, которые подлежат немедленной замене.",Data1_10_10852_index.pdf,15
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?,"Федеральным органом исполнительной 
власти в области транспорта, федеральным органом исполнительной власти в области рыболовства 
и другими федеральными органами исполнительной власти к командному составу судна могут 
быть отнесены также другие специалисты.",Кодекс торгового мореплавания Российской Федерации.pdf,25
Какие примеры нематериальных активов приведены в тексте?,"Вычеты сумм налога, предъявленных продавцами налогоплательщику при приобретении либо уплаченных 
при ввозе на территорию Российской Федерации и иные территории, находящиеся под ее юрисдикцией, 
основных средств, оборудования к установке, и (или) нематериальных активов, указанных в пунктах 2 и 4 
статьи 171 настоящего Кодекса, производятся в полном объеме после принятия на учет данных основных 
средств, оборудования к установке, и (или) нематериальных активов.",Налоговый кодекс Российской Федерации.pdf,521
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?,"Утверждено
постановлением Госстроя России
от 11.11.98 № 13
П О Л О Ж Е Н И Е
О ПРОВЕДЕНИИ ЭКСПЕРТИЗЫ
ЭКОНОМИЧЕСКОГО ОБОСНОВАНИЯ
ТАРИФОВ НА ТОВАРЫ, РАБОТЫ И УСЛУГИ, УЧИТЫВАЕМЫХ
В ОПЛАТЕ ЖИЛЬЯ И КОММУНАЛЬНЫХ УСЛУГ
МДС 13-13.2000
МОСКВА 2001
1.",Data1_10_10863_index.pdf,1
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?,"Главное управление ценообразования,
сметных норм и расхода строительных материалов
Госстроя России
ПОСОБИЕ
ПО УЧЕТУ НАЛОГОВ В СМЕТНОЙ ДОКУМЕНТАЦИИ
НА СТРОИТЕЛЬСТВО
МДС 81-23.2000
Москва 2000
Пособие по учету налогов в сметной документации на строительство разработано Главным управлением
ценообразования, сметных норм и расхода строительных материалов Госстроя России и рекомендовано для
применения участникам инвестиционного процесса, осуществляющего на территории Российской Федерации.",Data1_2_2070_index.pdf,1
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?,"В разделе «Дополнительные данные» приводятся сведения о новизне и
эффективности проектных решений, наличии патентов, авторских свидетельств,
принятый расчетный показатель, количество расчетных единиц и другие сведения о
разработанной документации, не вошедшие в форму каталожного листа.",Data1_10_10849_index.pdf,3
Что такое заключение под стражу?,"Вопросы о временном помещении лица, в отношении которого в качестве меры пресечения избрано 
заключение под стражу, в медицинскую организацию, оказывающую психиатрическую помощь в 
стационарных условиях, а также о продлении срока временного пребывания в такой организации данного 
лица рассматриваются судом в порядке, установленном статьей 108 настоящего Кодекса, не позднее чем 
через 5 суток со дня получения ходатайства.",Уголовно-процессуальный кодекс Российской Федерации.pdf,274
