question,answer,source,page
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?","Законом могут быть установлены особенности сдачи в аренду земельных участков и других 
обособленных природных объектов.",Гражданский кодекс Российской Федерации.pdf,284
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000),"Основные положения региональных схем расселения учитываются на последующих
стадиях 
градостроительного 
проектирования, 
при 
осуществлении 
органами
исполнительной власти субъектов Российской Федерации регулирования деятельности в
области расселения и территориальной организации, а также учитываются всеми
участниками градостроительной деятельности в границах проектируемого региона.",Data1_1_1904_index.pdf,7
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?,"ГОССТРОЙ РОССИИ
ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ
ЦЕНТР НАУЧНО-МЕТОДИЧЕСКОГО ОБЕСПЕЧЕНИЯ ИНЖЕНЕРНОГО
СОПРОВОЖДЕНИЯ ИНВЕСТИЦИЙ В СТРОИТЕЛЬСТВЕ
ГП «ЦЕНТРИНВЕСТпроект»
ИСПОЛЬЗОВАНИЕ КОНКУРЕНЦИИ
МЕЖДУ РАБОТНИКАМИ
ПРОЕКТНОЙ ОРГАНИЗАЦИИ
ДЛЯ ВЫЖИВАНИЯ НА РЫНКЕ
МДС 80-2.2000
Руководство для директора
МОСКВА 1998
Даются общие положения по организации внутренней конкуренции в проектной
организации, рассматриваются методы содействия развитию конкуренции и
практические вопросы организации внутренней конкуренции для различных уровней
управления.",Data1_10_10872_index.pdf,1
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?","При рассмотрении дела об административном правонарушении: 
1) объявляется, кто рассматривает дело, какое дело подлежит рассмотрению, кто и на основании какого 
закона привлекается к административной ответственности; 
2) устанавливается факт явки физического лица, или законного представителя физического лица, или 
законного представителя юридического лица, в отношении которых ведется производство по делу об 
административном правонарушении, за исключением случаев, предусмотренных частью 3 статьи 28.6 
настоящего Кодекса, а также иных лиц, участвующих в рассмотрении дела;",Административный кодекс Российской Федерации.pdf,575
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?","и ГОСТ 11024-84*                  Бетонные и железобетонные конструкции
СНиП II-23-81*, изд.",Data1_10_10865_index.pdf,30
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?,"Если у заказчика на строительство объектов основным критерием оценки
оферт является цена, то максимальное число баллов по этому показателю
рекомендуется устанавливать в размере до 800 баллов.",Data1_10_10869_index.pdf,4
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?","Усыновление 
(удочерение) 
на 
территории 
Российской 
Федерации 
иностранными 
гражданами или лицами без гражданства, состоящими в браке с гражданами Российской 
Федерации, детей, являющихся гражданами Российской Федерации, производится в порядке, 
установленном настоящим Кодексом для граждан Российской Федерации, если иное не 
предусмотрено международным договором Российской Федерации.",Семейный кодекс Российской Федерации.pdf,52
Что такое коллективный трудовой спор?,"При согласии сторон коллективного трудового спора о рассмотрении коллективного трудового спора с 
участием посредника заключается соответствующее соглашение, после чего стороны коллективного 
трудового спора обязаны в срок не более двух рабочих дней согласовать кандидатуру посредника.",Трудовой кодекс Российской Федерации.pdf,247
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?,"Трудовым законодательством и иными нормативными правовыми актами, содержащими нормы 
трудового права, или учредительными документами организации могут быть установлены процедуры, 
предшествующие заключению трудового договора с руководителем организации (проведение конкурса, 
избрание или назначение на должность и другое).",Трудовой кодекс Российской Федерации.pdf,160
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?","При помещении продуктов переработки под таможенную процедуру выпуска для 
внутреннего потребления ввозные таможенные пошлины исчисляются исходя из стоимости 
операций по переработке вне таможенной территории Союза.",Таможенный кодекс Евразийского экономического союза.pdf,204
Что такое государственная собственность в Российской Федерации?,"Комментарии к статьям на сайте 
https://ktmrf.ru/ 
 
 
 
экипажа 
(бербоут-чартеру) 
юридическими 
лицами, 
зарегистрированными 
в 
свободных 
экономических зонах, созданных в соответствии с законодательством Российской Федерации, при 
государственной регистрации таких судов в морских портах Российской Федерации, включенных в 
перечень морских портов, утвержденный Правительством Российской Федерации; 
7) суда, используемые на морской линии, и суда, используемые для буксировки в каботаже 
(при условии, что продолжительность рейса между заходами в морские порты составляет не более 
двадцати четырех часов), принадлежащие на праве собственности гражданам Российской 
Федерации, юридическим лицам, зарегистрированным в соответствии с законодательством 
Российской Федерации, Российской Федерации, субъектам Российской Федерации или 
зафрахтованные ими по договорам фрахтования судна без экипажа (бербоут-чартеру); 
8) суда, используемые для хранения и перевалки нефти, нефтепродуктов и сжиженного 
природного газа в морских портах Российской Федерации, при условии, что возраст этих судов на 
дату подачи заявления о государственной регистрации не превышает двадцать лет.",Кодекс торгового мореплавания Российской Федерации.pdf,18
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?","В качестве таких материалов могут применяться жесткие и полужесткие минераловатные плиты по ГОСТ
9573-82, плиты теплоизоляционные из пенопласта по ГОСТ 20916-87, плиты полистирольные типа ПСБ-С с
антипиреном по ГОСТ 15588-86.",Data1_10_10846_index.pdf,8
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?,"Рекомендации содержат общий методический подход к разработке технической части тендерной
документации и оферты.",Data1_10_10865_index.pdf,1
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?","Непредставление или несвоевременное представление в федеральный антимонопольный орган, его 
территориальный орган сведений (информации), предусмотренных антимонопольным законодательством 
Российской Федерации, в том числе непредставление сведений (информации) по требованию указанных 
органов, за исключением случаев, предусмотренных частями 3, 4 и 7 настоящей статьи, а равно 
представление в федеральный антимонопольный орган, его территориальный орган заведомо 
недостоверных сведений (информации), за исключением случаев, предусмотренных частью 8 настоящей 
статьи - 
влечет наложение административного штрафа на граждан в размере от одной тысячи пятисот до двух 
тысяч пятисот рублей; на должностных лиц - от десяти тысяч до пятнадцати тысяч рублей; на юридических 
лиц - от пятидесяти тысяч до пятисот тысяч рублей.",Административный кодекс Российской Федерации.pdf,410
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?","Программа «Ресурс-2» позволяет с высокой точностью выявлять отдельные участки
тепловых сетей, которые подлежат немедленной замене.",Data1_10_10852_index.pdf,15
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?,"Федеральный орган исполнительной власти в области рыболовства в соответствии с 
международными договорами Российской Федерации, настоящим Кодексом, другими законами и 
иными правовыми актами Российской Федерации издает в пределах своей компетенции 
обязательные для исполнения организациями, а также гражданами, деятельность которых связана с 
использованием судов рыбопромыслового флота, правила, инструкции и иные акты, содержащие 
нормы права, регулирующие отношения, возникающие в связи с рыболовством.",Кодекс торгового мореплавания Российской Федерации.pdf,3
Какие примеры нематериальных активов приведены в тексте?,"Суммы налога, подлежащие восстановлению в соответствии с настоящим подпунктом, не включаются в 
стоимость товаров (работ, услуг), в том числе основных средств, нематериальных активов, имущественных 
прав, а учитываются единовременно в составе прочих расходов в соответствии со статьей 264 настоящего 
Кодекса.",Налоговый кодекс Российской Федерации.pdf,508
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?,"Работодатель полностью компенсирует Исполнителю ущерб, понесенный из-за
несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ, а
также в случае задержки сроков выполнения работ по вине Работодателя.",Data1_10_10858_index.pdf,10
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?,"Накладные расходы (по МДС 81-
4.99, МДС 81-5.99)
 
 
 
7.",Data1_10_10754_index.pdf,24
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?,"В заявлении могут быть также указаны номера телефонов, факсов, адреса электронной почты и иные 
сведения о сторонах третейского разбирательства.",Гражданский процессуальный кодекс Российской Федерации.pdf,181
Что такое заключение под стражу?,"При избрании меры пресечения в виде заключения 
под стражу в постановлении судьи должны быть указаны конкретные, фактические обстоятельства, на 
основании которых судья принял такое решение.",Уголовно-процессуальный кодекс Российской Федерации.pdf,76
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?","11; другие характеристики закрепленных грунтов определяют согласно действующим нормам и пособиям
(руководствам) на изыскания и проектирование оснований и фундаментов сооружений и соответствующим ГОСТам.",Data1_11_11295_index.pdf,26
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?,"Федеральный орган исполнительной власти по селекционным достижениям публикует в официальном 
бюллетене сведения об отзыве заявления об открытой лицензии.",Гражданский кодекс Российской Федерации.pdf,608
Какие объекты могут быть оценены с помощью УПБС согласно СНиПу?,"ЗНАЧЕНИЯ КОЭФФИЦИЕНТА ЗАПАСА kз
(согласно СНиП 23-05-95)
№
п.п.",Data1_10_10846_index.pdf,33
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?,"МИНСТРОЙ РОССИИ
МЕТОДИЧЕСКИЕ РЕКОМЕНДАЦИИ
ПО ПРОЦЕДУРЕ ПОДРЯДНЫХ ТОРГОВ
МДС 80-6.2000
МОСКВА 1997
РАЗРАБОТАНЫ АО «ЦНИИпроект» (канд.",Data1_10_10866_index.pdf,1
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?,"Затраты, 
связанные 
с 
получением 
заказчиком 
и 
проектной
организацией исходных данных, технических условий на проектирование и
проведение необходимых согласований по проектным решениям.",Data1_10_10848_index.pdf,8
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?,"Задачи законодательства об административных правонарушениях 
Задачами законодательства об административных правонарушениях являются защита личности, охрана 
прав и свобод человека и гражданина, охрана здоровья граждан, санитарно-эпидемиологического 
благополучия населения, защита общественной нравственности, охрана окружающей среды, 
установленного порядка осуществления государственной власти, общественного порядка и общественной 
безопасности, собственности, защита законных экономических интересов физических и юридических лиц, 
общества и государства от административных правонарушений, а также предупреждение 
административных правонарушений.",Административный кодекс Российской Федерации.pdf,0
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?,"При наличии в фундаменте анкерных блоков, арматурных выпусков и
закладных деталей их установку производят по микрообноске.",Data1_11_11285_index.pdf,31
Какой телефон указан для бесплатной юридическая консультации в регионах России?,"Бесплатная юридическая консультация по телефонам: 
• 8 (499) 938-53-71 (Москва и МО); 
 
• 8 (812) 467-95-28 (Санкт-Петербург и ЛО); 
• 8 (800) 301-92-12 (Регионы РФ).",Административный кодекс Российской Федерации.pdf,347
В каких условиях содержатся осужденные к аресту?,Осужденные к аресту содержатся в условиях строгой изоляции.,Уголовно-исполнительный кодекс Российской Федерации.pdf,37
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?,"Законодательством государств-членов о таможенном регулировании может быть 
предусмотрено, что таможенный орган отказывает в выпуске товаров, если в отношении 
декларанта возбуждено дело о банкротстве.",Таможенный кодекс Евразийского экономического союза.pdf,141
Что такое процессуальное решение по определению статьи 33?,"Определение суда первой инстанции, подлежащее обжалованию, вступает в законную силу по 
истечении срока подачи частной жалобы, если такая жалоба не была подана, а в случае ее подачи 
после рассмотрения судом такой жалобы в апелляционном порядке при условии, что обжалуемое 
определение не будет отменено.",Кодекс административного судопроизводства Российской Федерации.pdf,106
Что означает знак 5.22?,"Применяется со знаками 1.22, 5.19.1, 5.19.2 и светофорами.",ПДД Российской Федерации.pdf,49
"Какие требования ГОСТ или СНиП регулируют проектирование кладбища площадью до 0,5 га?","-
12,25
 
Кладбище площадью, га
га
 
 
9.",Data1_11_11835_index.pdf,15
Какие ГОСТы или СНиПы регламентируют расчет затрат на эксплуатацию строительных машин?,"Расчет стоимости затрат на строительные машины осуществляется:
в базисном уровне - по Сборнику сметных норм и расценок на эксплуатацию строительных машин (СНиП 4.03-91);
в текущем (прогнозном) уровне - на основе информации о текущих (прогнозных) ценах на эксплуатацию
строительных машин.",Data1_2_2117_index.pdf,2
Какие требования МДС 14-13.2000 предъявляет к площади прочих помещений?,"Площади полов в м2
№
п/п
Наименование площади
помещений
В одноэтажной части
В многоэтажной части
Всего
1
Торцовая шашка
 
 
 
2
Бетонные
 
 
 
3
Гранитная брусчатка
 
 
 
4
Чугунные, стальные
 
 
 
5
Асфальтовые
 
 
 
6
Цементные
 
 
 
7
Мозаичные
 
 
 
8
Из метлахской плитки
 
 
 
9
Ксилолитовые
 
 
 
10
Паркетные
 
 
 
11
Дощатые
 
 
 
12
Линолеумные
 
 
 
13
Наливные безшовные
 
 
 
14
Из плитки ПХВ
 
 
 
15
Прочие
 
 
 
Размеры наружных поверхностей ограждающих конструкций
1.",Data1_1_1879_index.pdf,15
Какие преступления относятся к уголовным делам частного обвинения?,"К иным причинам относится 
также случай совершения преступления лицом, данные о котором не известны.",Уголовно-процессуальный кодекс Российской Федерации.pdf,12
Что должно содержать пояснительная записка к схеме районной планировки? (ГОСТ МДС 11-7.2000),"Пояснительная записка к схеме районной планировки должна содержать
обоснования предложений и решений, перечисленных в пп.",Data1_1_1904_index.pdf,9
Какие министерства и ведомства утверждают ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000?,"Сметная прибыль (по МДС 81-
25.2001)
 
 
 
8.",Data1_10_10754_index.pdf,24
Какие разделы включены в проектные работы для трибун с подтрибунными помещениями согласно СНиП?,"Трибуна железобетонная (западная) с подтрибунными помещениями от 3000 до
5000 мест
трибуна
163,38
-
2.",Data1_11_11835_index.pdf,7
Какой метод следует использовать для измерения крена зданий и сооружений сложной геометрической формы в СНиП 3.01.03-84?,"Для измерения крена зданий и сооружений сложной геометрической формы
следует использовать метод измерения горизонтальных направлений с двух постоянно
закрепленных опорных знаков, расположенных на взаимно перпендикулярных
направлениях (по отношению к зданию, сооружению).",Data1_11_11285_index.pdf,75
Какие операции включаются в управление остатками средств на едином счете бюджета территориального внебюджетного фонда?,"В сводную бюджетную роспись включаются бюджетные ассигнования по источникам 
финансирования дефицита бюджета, кроме операций по управлению остатками средств на едином 
счете бюджета и операций по управлению средствами Фонда национального благосостояния.",Бюджетный кодекс Российской Федерации.pdf,314
Что включается в состав обосновывающих материалов к сводному расчету затрат российских организаций в смешанных ценах?,"Копии сводных смет в смешанных ценах и сводных сметных расчетов во внутренних (базисных) ценах Российской Федерации по объекту-
аналогу, расчеты поправок и другие расчеты включаются в состав обосновывающих материалов к сводному расчету затрат российских
организаций в смешанных ценах.",Data1_2_2069_index.pdf,9
Какое определение выносит суд о замене ненадлежащего административного ответчика?,"О замене ненадлежащего административного ответчика надлежащим или о привлечении к 
участию в деле другого надлежащего административного ответчика суд выносит определение.",Кодекс административного судопроизводства Российской Федерации.pdf,26
"Что происходит, если представляемый одобряет сделку, заключенную неуполномоченным лицом?","Заключение сделки неуполномоченным лицом 
1.",Гражданский кодекс Российской Федерации.pdf,117
Как устанавливаются порядок и формы внесения авансовых платежей?,"Порядок и формы внесения авансовых платежей устанавливаются законодательством 
государств-членов.",Таможенный кодекс Евразийского экономического союза.pdf,49
"Что происходит с правом применения тарифов страховых взносов, если организация не выполняет условия, установленные пунктом 12?","В случае, если по итогам расчетного (отчетного) периода применительно к указанному периоду 
организация не выполняет условия, установленные настоящим пунктом, такая организация лишается права 
применять пониженные тарифы страховых взносов, предусмотренные подпунктом 3 пункта 2 настоящей 
статьи, с начала расчетного периода, в котором допущено несоответствие условиям, указанным в 
настоящем пункте.",Налоговый кодекс Российской Федерации.pdf,1641
"Какие административные правонарушения рассматривает федеральный орган исполнительной власти, осуществляющий федеральный государственный карантинный фитосанитарный надзор, государственный надзор в области безопасного обращения с пестицидами и агрохимикатами и государственный земельный надзор (в отношении использования и охраны земель сельскохозяйственного назначения)?","Федеральный орган исполнительной власти, осуществляющий федеральный 
государственный карантинный фитосанитарный надзор, государственный надзор в 
области 
безопасного 
обращения 
с 
пестицидами 
и 
агрохимикатами 
и 
государственный земельный надзор (в отношении использования и охраны земель 
сельскохозяйственного назначения) 
1.",Административный кодекс Российской Федерации.pdf,469
Какой телефон доступен для бесплатной юридической консультации в регионах России?,"Бесплатная юридическая консультация по телефонам: 
• 8 (499) 938-53-84 (Москва и МО); 
 
• 8 (812) 467-95-33 (Санкт-Петербург и ЛО); 
• 8 (800) 301-79-07 (Регионы РФ).",Бюджетный кодекс Российской Федерации.pdf,264
Какие сведения должен содержать опросник согласно ГОСТ МДС 80-5.2000?,"ГОССТРОЙ РОССИИ
МЕТОДИЧЕСКИЕ РЕКОМЕНДАЦИИ
ПО ПРОВЕДЕНИЮ
ПРЕДВАРИТЕЛЬНОЙ КВАЛИФИКАЦИИ
ПРЕТЕНДЕНТОВ НА УЧАСТИЕ
В ПОДРЯДНЫХ ТОРГАХ
МДС 80-5.2000
МОСКВА 1999
РАЗРАБОТАНЫ АО ЦНИИпроект (канд.",Data1_10_10867_index.pdf,1
Кто утверждает форму заявления о включении в перечень организаций розничной торговли?,"Форма заявления о включении в перечень организаций розничной торговли, указанный в абзаце первом 
настоящего пункта, порядок рассмотрения заявления о включении организации розничной торговли в 
указанный перечень и порядок исключения организации розничной торговли из указанного перечня 
утверждаются федеральным органом исполнительной власти, осуществляющим функции по выработке 
государственной политики и нормативно-правовому регулированию в области развития внешней и 
внутренней торговли.",Налоговый кодекс Российской Федерации.pdf,500
