question,answer,sources
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?"," Усыновление иностранных граждан или лиц без гражданства, состоящих в браке с гражданами РФ, определяется Правительством Российской Федерации. Для этого необходимо:
1. Согласие усыновляющих родителей ребенка (иностранного гражданина или лица без гражданства).
2. Разрешение на усыновление, получено в государстве, где проживает ребенок.
3. Соответствующие документы для подтверждения факта личного общения усыновителей с ребенком и условий жизни и воспитания детей в семьях усыновителей на территории РФ.
4. Решение суда об усыновлении, после чего права и обязанности усыновителя и усыновленного ребенка возникают со дня вступления в законную силу.","Гражданский процессуальный кодекс Российской Федерации.pdf:page_112, Гражданский процессуальный кодекс Российской Федерации.pdf:page_113, Семейный кодекс Российской Федерации.pdf:page_37, Семейный кодекс Российской Федерации.pdf:page_52, Семейный кодекс Российской Федерации.pdf:page_53"
Что такое коллективный трудовой спор?," Коллективный трудовой спор - это разногласия, возникающие между работодателем и организацией (например, профсоюзом), которые представляют интересы нескольких либо всех работников данной организации.","Трудовой кодекс Российской Федерации.pdf:page_239, Трудовой кодекс Российской Федерации.pdf:page_244, Трудовой кодекс Российской Федерации.pdf:page_247, Трудовой кодекс Российской Федерации.pdf:page_249, Трудовой кодекс Российской Федерации.pdf:page_250"
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?," Процедуры, которые могут предшествовать заключению трудового договора с руководителем организации:

1. Утверждение кандидатуры руководителя в соответствии с уставами образовательной или научной организации.
2. Достижение согласия сторон о сроке трудового договора (определенный или неопределенный).
3. Оформление документов, необходимых для заключения трудового договора, таких как контракт, устав организации и другие нормативные акты.
4. Предупреждение работодателя об намерении руководителя заключить трудовой договор в письменной форме не позднее чем за один месяц, согласно статье 280 Кодекса РФ об ответственности перед государством и муниципалитетом.
5. Утверждение руководителем организации кандидатуры на должность заведующего кафедрой или декана факультета, в случае если эти должности являются выборными.","Трудовой кодекс Российской Федерации.pdf:page_160, Трудовой кодекс Российской Федерации.pdf:page_162, Трудовой кодекс Российской Федерации.pdf:page_193, Трудовой кодекс Российской Федерации.pdf:page_194, Трудовой кодекс Российской Федерации.pdf:page_197"
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?"," Ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления исчисляются исходя из стоимости операций по переработке.","Таможенный кодекс Евразийского экономического союза.pdf:page_155, Таможенный кодекс Евразийского экономического союза.pdf:page_196, Таможенный кодекс Евразийского экономического союза.pdf:page_197, Таможенный кодекс Евразийского экономического союза.pdf:page_204, Таможенный кодекс Евразийского экономического союза.pdf:page_269"
Что такое государственная собственность в Российской Федерации?," Государственная собственность в Российской Федерации - это форма собственности, которая принадлежит Российской Федерации.","Бюджетный кодекс Российской Федерации.pdf:page_69, Гражданский кодекс Российской Федерации.pdf:page_127, Жилищный кодекс Российской Федерации.pdf:page_80, Земельный кодекс Российской Федерации.pdf:page_19, Земельный кодекс Российской Федерации.pdf:page_91"
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?"," Согласно указанным ГОСТам, материалы для утепления опорных контуров должны быть разрешены Государственным санитарным надзором (ГОСТ 20916-87) и иметь необходимые свойства, такие как высокая плотность и низкая теплопроводность (ГОСТ 9573-82 и ГОСТ 15588-86).","Data1_10_10846_index.pdf:page_2, Data1_10_10846_index.pdf:page_8, Data1_10_10846_index.pdf:page_9, Data1_10_10852_index.pdf:page_16, Data1_11_11295_index.pdf:page_26"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?, Методические рекомендации были одобрены Межведомственной комиссией по подрядным торгам при Госстрое России.,"Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_36, Data1_10_10866_index.pdf:page_7, Data1_10_10867_index.pdf:page_1, Data1_10_10869_index.pdf:page_1"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?", За нарушение антимонопольного законодательства может быть наложен административный штраф в размере от двух тысяч до десяти тысяч рублей (для должностных лиц) и от двадцати тысяч до двухсот тысяч рублей (для юридических лиц).,"Административный кодекс Российской Федерации.pdf:page_268, Административный кодекс Российской Федерации.pdf:page_408, Административный кодекс Российской Федерации.pdf:page_409, Административный кодекс Российской Федерации.pdf:page_410, Административный кодекс Российской Федерации.pdf:page_411"
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?"," Участки трубопроводов подлежат замене, если коррозионный износ превышает 60%, или более 0,7 свища на 1 метр длины трубопровода. Гидрохимическая промывка может служить альтернативой замене в некоторых случаях.","Data1_10_10852_index.pdf:page_20, Data1_1_1879_index.pdf:page_20, Data1_1_1879_index.pdf:page_29, Data1_1_1879_index.pdf:page_30, Data1_1_1879_index.pdf:page_32"
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?," Федеральный орган исполнительной власти издает правила и инструкции в области рыболовства, такие как:
1) Правила о размещении знаков на водных объектах (на сайте koapkodeksrf.ru);
2) Правила о судах, используемых для отдельной деятельности в сфере рыболовства (на сайте ktmrf.ru);
3) Положение о дипломировании членов экипажей судов (на сайте ktmrf.ru).
4) Правила использования лесов для осуществления рыболовства (на сайте leskod.ru).","Административный кодекс Российской Федерации.pdf:page_476, Кодекс торгового мореплавания Российской Федерации.pdf:page_26, Кодекс торгового мореплавания Российской Федерации.pdf:page_3, Лесной кодекс Российской Федерации.pdf:page_20, Лесной кодекс Российской Федерации.pdf:page_51"
Какие примеры нематериальных активов приведены в тексте?," 1) Исключительное право на изобретение, промышленный образец, полезную модель;
2) Программа для ЭВМ, база данных;
3) Топология интегральных микросхем;
4) Товарный знак, знак.
5) Нематериальные активы приобретенные в ходе сельхоз налогоплательщика.
6) Основные средства (приобретенные или созданные самостоятельно) нематериальных активов.","Гражданский кодекс Российской Федерации.pdf:page_101, Налоговый кодекс Российской Федерации.pdf:page_1486, Налоговый кодекс Российской Федерации.pdf:page_285, Налоговый кодекс Российской Федерации.pdf:page_949, Налоговый кодекс Российской Федерации.pdf:page_968"
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?," В соответствии с ГОСТ МДС 11-11.2000, в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ Исполнителю, Работодатель обязан возместить ущерб, причиненный Исполнителю.","Data1_10_10858_index.pdf:page_10, Data1_10_10863_index.pdf:page_1, Гражданский кодекс Российской Федерации.pdf:page_310, Гражданский кодекс Российской Федерации.pdf:page_316, Трудовой кодекс Российской Федерации.pdf:page_148"
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?," Способы уплаты государственной пошлины на основании документа МДС 81-23.2000 не определены. Описан процесс учета в сметной документации разнообразных налогов, отчислений и плат, но конкретные способы уплаты пошлины не перечислены.","Data1_10_10754_index.pdf:page_1, Data1_10_10864_index.pdf:page_1, Data1_10_10870_index.pdf:page_1, Data1_2_2069_index.pdf:page_1, Data1_2_2070_index.pdf:page_1"
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?," Данные о инвентарном номере должны быть указаны в виде серии, шифра и номера альбо каталожного листа.","Data1_10_10849_index.pdf:page_1, Data1_10_10849_index.pdf:page_3, Data1_10_10849_index.pdf:page_4, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_215, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_150"
Что такое заключение под стражу?," Заключение под стражу - это мера пресечения, которая может быть применена к подозреваемому или обвиняемому несовершеннолетнему в случае совершения тяжкого или особо тяжкого преступления, а также исключительных случаев с преступлением средней тяжести. Эта мера пресечения означает содержание лица под стражей до суда.","Уголовно-процессуальный кодекс Российской Федерации.pdf:page_267, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_286, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_76, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_77, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_81"
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?"," Согласно указанному документу, процедура отбора лучшего предложения не ограничена сроком, но может длиться не более трех рабочих дней со дня вскрытия конвертов.","Data1_10_10866_index.pdf:page_9, Data1_10_10869_index.pdf:page_1, Data1_1_1904_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Лесной кодекс Российской Федерации.pdf:page_73"
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?," Если до отзыва открытой лицензии был оплачен период поддержания патента, то патентообладатель должен уплатить пошлину за полный прошедший период после публикации сведений о открытой лицензии. В дальнейшем патентные пошлины уплачиваются в полном размере, как и ранее. Если до отзыва открытой лицензии были заключены соответствующие лицензионные договоры на условиях открытой лицензии, то лицензиаты сохраняют свои права до окончания срока действия этих договоров. В этом случае патентообладатель должен уплатить пошлину за поддержание патента в силе.","Гражданский кодекс Российской Федерации.pdf:page_572, Гражданский кодекс Российской Федерации.pdf:page_596, Гражданский кодекс Российской Федерации.pdf:page_606, Гражданский кодекс Российской Федерации.pdf:page_607, Гражданский кодекс Российской Федерации.pdf:page_608"
Какие объекты могут быть оценены с помощью УПБС согласно СНиПу?," Объекты, которые могут быть оценены с помощью УПБС - это объекты жилищно-гражданского назначения.","Data1_2_2080_index.pdf:page_1, Data1_2_2080_index.pdf:page_7, Data1_2_2080_index.pdf:page_8, Data1_2_2081_index.pdf:page_3, Data1_2_2081_index.pdf:page_6"
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?," Согласно ГОСТу МДС-80-8.2000, площадь бетоносмесителей не указана явно. Площадь должна быть определена в соответствии с требованиями конкретного проекта и объемами работ, выполняемых подрядчиком.","Data1_10_10754_index.pdf:page_1, Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_20, Data1_10_10866_index.pdf:page_1, Data1_11_11295_index.pdf:page_6"
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?, Затраты на получение исходных данных и согласования по проектным решениям определяются на основании договоров между заказчиком и проектной организацией.,"Data1_10_10754_index.pdf:page_1, Data1_10_10848_index.pdf:page_1, Data1_10_10848_index.pdf:page_8, Data1_2_2075_index.pdf:page_1, Data1_2_2079_index.pdf:page_1"
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?," 1. Нарушение установленного федеральным законом запрета курения табака, потребления никотинсодержащей продукции или использования кальянов на отдельных территориях, в помещениях и на объектах.
2. Нарушение установленного федеральным законом запрета курения табака, потребления никотинсодержащей продукции или использования кальянов на детских площадках.
3. Обстоятельства, представляющие угрозу жизни и безопасности граждан.
4. Распространение в средствах массовой информации заведомо недостоверной общественной информации.
5. Несоблюдение субъектами обращения донорской крови и (или) ее компонентов правил заготовки, хранения, транспортировки и клинического использования донорской крови и ее компонентов.
6. Несообщение или сокрытие информации о реакциях на лекарственные средства.
7. Нарушение изготовителем, исполнителем (лицом, выполняющим функции иностранного изготовителя), продавцом требований технических регламентов или подлежащих применению до дня вступления в силу соответствующих технических регламентов обязательных требований к продукции либо к продукции и связанным с требованиями к продукции процессам проектирования.","Административный кодекс Российской Федерации.pdf:page_213, Административный кодекс Российской Федерации.pdf:page_286, Административный кодекс Российской Федерации.pdf:page_450, Административный кодекс Российской Федерации.pdf:page_71, Административный кодекс Российской Федерации.pdf:page_74"
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?," Анкерные блоки и закладные детали должны быть установлены с помощью деревянных реек, которые крепят к арматуре. Рейки изготовляют из брусьев сечением 30 × 30 мм и длиной 3 м. На рейки нивелиром наносят одну и ту же отметку, от которой рейки размечаются на метры и сантиметры в соответствии с проектными отметками. Рейки систематически наращивают по мере движения опалубки, в результате на монтажном горизонте рейки будут располагаться в углах карнизов.","Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_17, Data1_10_10865_index.pdf:page_30, Data1_11_11285_index.pdf:page_35, Data1_2_2073_index.pdf:page_6"
Какой телефон указан для бесплатной юридическая консультации в регионах России?, Телефоном для бесплатной юридической консультации в регионах России является: 8 (800) 301-92-12.,"Административный кодекс Российской Федерации.pdf:page_347, Административный кодекс Российской Федерации.pdf:page_400, Административный кодекс Российской Федерации.pdf:page_425, Гражданский процессуальный кодекс Российской Федерации.pdf:page_110, Гражданский процессуальный кодекс Российской Федерации.pdf:page_123"
В каких условиях содержатся осужденные к аресту?," Осужденные к аресту отбывают наказание в арестных домах. Если есть болезнь, то перевод из одного арестного дома в другой допускается.","Уголовно-исполнительный кодекс Российской Федерации.pdf:page_37, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_46, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_6, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_76, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_83"
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?," Таможенный орган может отказывать в выпуске товаров по следующим основаниям:
1) Невыполнение условий, при которых таможенный орган производит выпуск товаров;
2) Невыполнение требований таможенного органа об изменении (дополнении) сведений, заявленных в таможенной декларации.","Таможенный кодекс Евразийского экономического союза.pdf:page_125, Таможенный кодекс Евразийского экономического союза.pdf:page_126, Таможенный кодекс Евразийского экономического союза.pdf:page_141, Таможенный кодекс Евразийского экономического союза.pdf:page_25, Таможенный кодекс Евразийского экономического союза.pdf:page_31"
Что такое процессуальное решение по определению статьи 33?," Процессуальное решение по статье 33 - это деловое постановление суда, в котором определяется вопрос о признании иска допустимым к рассмотрению или отказе в приеме его на рассмотрение.","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_126, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_84, Гражданский процессуальный кодекс Российской Федерации.pdf:page_123, Гражданский процессуальный кодекс Российской Федерации.pdf:page_61, Кодекс административного судопроизводства Российской Федерации.pdf:page_141"
