question,answer,source,page
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?","Законом могут быть установлены особенности сдачи в аренду земельных участков и других 
обособленных природных объектов.",Гражданский кодекс Российской Федерации.pdf,284
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000),"Основные положения региональных схем расселения учитываются на последующих
стадиях 
градостроительного 
проектирования, 
при 
осуществлении 
органами
исполнительной власти субъектов Российской Федерации регулирования деятельности в
области расселения и территориальной организации, а также учитываются всеми
участниками градостроительной деятельности в границах проектируемого региона.",Data1_1_1904_index.pdf,7
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?,"Наличие конкуренции между работниками внутри проектного института
означает, что созданы такие организационные, экономические и социальные условия,
которые позволяют директору института, управляющему проектом (ГИПу, ГАПу) и
начальнику основного проектного отдела (мастерской) принимать решения о том,
кому поручить выполнение работы, за какую цену и в какие сроки на конкурентной
основе, т.е.",Data1_10_10872_index.pdf,3
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?","Федеральные органы исполнительной власти, осуществляющие функции по контролю (надзору) в сфере 
обращения товаров, подлежащих маркировке средствами идентификации, с использованием 
государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной 
маркировке средствами идентификации (далее - информационная система мониторинга), рассматривают 
дела об административных правонарушениях, предусмотренных статьей 15.12.1 настоящего Кодекса.",Административный кодекс Российской Федерации.pdf,505
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?","СНиП 2.08.01-89*                   Жилые здания
СНиП 2.01.07-85                     Нагрузки и воздействия
Дополнение
к СНиП 2.01.07-85                  Прогибы и перемещения
СНиП 2.01.02-85                     Противопожарные нормы
СНиП II-3-79*, изд.",Data1_10_10865_index.pdf,30
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?,"Если у заказчика на строительство объектов основным критерием оценки
оферт является цена, то максимальное число баллов по этому показателю
рекомендуется устанавливать в размере до 800 баллов.",Data1_10_10869_index.pdf,4
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?","Усыновление 
(удочерение) 
на 
территории 
Российской 
Федерации 
иностранными 
гражданами или лицами без гражданства, состоящими в браке с гражданами Российской 
Федерации, детей, являющихся гражданами Российской Федерации, производится в порядке, 
установленном настоящим Кодексом для граждан Российской Федерации, если иное не 
предусмотрено международным договором Российской Федерации.",Семейный кодекс Российской Федерации.pdf,52
Что такое коллективный трудовой спор?,"Если такие условия включены в коллективный договор, соглашение или трудовой договор, то они не 
подлежат применению.",Трудовой кодекс Российской Федерации.pdf,6
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?,"Трудовым законодательством и иными нормативными правовыми актами, содержащими нормы 
трудового права, или учредительными документами организации могут быть установлены процедуры, 
предшествующие заключению трудового договора с руководителем организации (проведение конкурса, 
избрание или назначение на должность и другое).",Трудовой кодекс Российской Федерации.pdf,160
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?","При помещении товаров, указанных в подпункте 1 пункта 3 статьи 134 настоящего 
Кодекса, под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные 
пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины подлежат уплате в 
размере сумм 
ввозных 
таможенных 
пошлин, 
налогов, 
специальных, 
антидемпинговых, 
компенсационных пошлин, которые подлежали бы уплате, как если бы иностранные товары, 
помещенные 
под 
таможенную 
процедуру 
переработки 
на 
таможенной 
территории 
и 
использованные для изготовления товаров, указанных в подпункте 1 пункта 3 статьи 134 
настоящего Кодекса, в соответствии с нормами их выхода, помещались под таможенную 
процедуру выпуска для внутреннего потребления.",Таможенный кодекс Евразийского экономического союза.pdf,159
Что такое государственная собственность в Российской Федерации?,"Комментарии к статьям на сайте 
https://budkod.ru/ 
 
 
 
договоров аренды указанных земельных участков - по нормативу 100 процентов, если 
законодательством соответствующего субъекта Российской Федерации не установлено иное; 
доходы от продажи земельных участков, государственная собственность на которые не 
разграничена и которые расположены в границах городов федерального значения Москвы, Санкт-
Петербурга 
и 
Севастополя, 
- 
по 
нормативу 
100 
процентов, 
если 
законодательством 
соответствующего субъекта Российской Федерации не установлено иное; 
доходы от продажи земельных участков, которые находятся в федеральной собственности и 
осуществление полномочий Российской Федерации по управлению и распоряжению которыми 
передано органам государственной власти субъектов Российской Федерации, передачи в аренду 
таких земельных участков, продажи прав на заключение договоров аренды таких земельных 
участков - по нормативу 100 процентов, если законодательством соответствующего субъекта 
Российской Федерации не установлено иное; 
доходы от продажи объектов недвижимого имущества одновременно с занятыми такими 
объектами недвижимого имущества земельными участками, которые находятся в федеральной 
собственности и осуществление полномочий Российской Федерации по управлению и 
распоряжению которыми передано органам государственной власти субъектов Российской 
Федерации, - по нормативу 100 процентов, если законодательством соответствующего субъекта 
Российской Федерации не установлено иное; 
плата за снятие запрета на реконструкцию, строительство зданий, строений, сооружений на 
земельном участке - по нормативу 100 процентов; 
плата за увеличение площади земельных участков, находящихся в частной собственности, в 
результате перераспределения таких земельных участков и земель и (или) земельных участков, 
государственная собственность на которые не разграничена и которые расположены в границах 
городов федерального значения Москвы, Санкт-Петербурга и Севастополя, либо за увеличение 
площади 
земельных 
участков, 
находящихся 
в 
частной 
собственности, 
в 
результате 
перераспределения таких земельных участков и земельных участков, находящихся в собственности 
этих субъектов Российской Федерации, - по нормативу 100 процентов, если законодательством 
соответствующего субъекта Российской Федерации не установлено иное; 
плата по соглашениям об установлении сервитута, заключенным государственными 
(муниципальными) органами, государственными или муниципальными предприятиями либо 
государственными или муниципальными учреждениями в отношении земельных участков, 
находящихся в собственности субъектов Российской Федерации - городов федерального значения 
Москвы, 
Санкт-Петербурга 
и 
Севастополя, 
или 
земельных 
участков, 
государственная 
собственность на которые не разграничена и которые расположены в границах городов 
федерального значения Москвы, Санкт-Петербурга и Севастополя, - по нормативу 100 процентов, 
если законодательством соответствующего субъекта Российской Федерации не установлено иное; 
плата за увеличение площади земельных участков, находящихся в частной собственности, в 
результате перераспределения таких земельных участков и земельных участков, которые находятся 
в федеральной собственности и осуществление полномочий Российской Федерации по управлению 
и распоряжению которыми передано органам государственной власти субъектов Российской 
Федерации, - по нормативу 100 процентов, если законодательством соответствующего субъекта 
Российской Федерации не установлено иное; 
плата по соглашениям об установлении сервитута, заключенным органами исполнительной 
власти субъектов Российской Федерации, государственными или муниципальными предприятиями 
либо государственными или муниципальными учреждениями в отношении земельных участков,",Бюджетный кодекс Российской Федерации.pdf,55
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?","Для утепления опорных контуров зенитных фонарей следует, как правило, применять плитные
эффективные утеплители из негорючих (НГ) или слабогорючих (Г1) материалов с плотностью не более 250 кг/
м3.",Data1_10_10846_index.pdf,8
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?,"ГОССТРОЙ РОССИИ
М Е Т О Д И Ч Е С К И Е  Р Е К О М Е Н Д А Ц И И
ПО РАЗРАБОТКЕ
ТЕХНИЧЕСКОЙ ЧАСТИ
ТЕНДЕРНОЙ ДОКУМЕНТАЦИИ
И ОФЕРТЫ ПРЕТЕНДЕНТА
МДС-80-8.2000
МОСКВА 2000
Методические 
рекомендации 
по 
разработке 
технической 
части 
тендерной 
документации
предназначены 
для 
всех 
субъектов 
инвестиционной 
деятельности: 
заказчиков 
(инвесторов),
организаторов торгов, тендерных комитетов всех уровней, подрядных и субподрядных организаций,
представленных в качестве претендентов и оферентов, консалтинговых, инженерно-консультационных,
финансовых, страховых и иных организаций, в том числе иностранных партнеров, участвующих в
подрядных торгах на территории Российской Федерации, а также университетов и институтов
повышения квалификации руководящих работников и специалистов организаций вне зависимости от
видов и форм собственности.",Data1_10_10865_index.pdf,1
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?","Непредставление или несвоевременное представление в федеральный антимонопольный орган, его 
территориальный орган сведений (информации), предусмотренных антимонопольным законодательством 
Российской Федерации, в том числе непредставление сведений (информации) по требованию указанных 
органов, за исключением случаев, предусмотренных частями 3, 4 и 7 настоящей статьи, а равно 
представление в федеральный антимонопольный орган, его территориальный орган заведомо 
недостоверных сведений (информации), за исключением случаев, предусмотренных частью 8 настоящей 
статьи - 
влечет наложение административного штрафа на граждан в размере от одной тысячи пятисот до двух 
тысяч пятисот рублей; на должностных лиц - от десяти тысяч до пятнадцати тысяч рублей; на юридических 
лиц - от пятидесяти тысяч до пятисот тысяч рублей.",Административный кодекс Российской Федерации.pdf,410
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?","Программа «Ресурс-2» позволяет с высокой точностью выявлять отдельные участки
тепловых сетей, которые подлежат немедленной замене.",Data1_10_10852_index.pdf,15
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?,"Федеральный орган исполнительной власти в области транспорта в соответствии с 
международными договорами Российской Федерации, настоящим Кодексом, другими законами и 
иными правовыми актами Российской Федерации издает в пределах своей компетенции 
обязательные для исполнения организациями, а также гражданами правила, в том числе правила 
буксировки, инструкции и иные акты, содержащие нормы права, регулирующие отношения, 
возникающие из торгового мореплавания.",Кодекс торгового мореплавания Российской Федерации.pdf,3
Какие примеры нематериальных активов приведены в тексте?,"Комментарии к статьям на сайте 
https://nkodeksrf.ru/ 
 
 
 
 
реконструкцию, модернизацию и техническое перевооружение основных средств, произведенных в 
указанном периоде, - с момента ввода этих основных средств в эксплуатацию; 
в отношении приобретенных (созданных самим налогоплательщиком) в период применения единого 
сельскохозяйственного налога нематериальных активов - с момента принятия этих нематериальных 
активов на бухгалтерский учет; 
2) в отношении приобретенных (сооруженных, изготовленных) основных средств, а также приобретенных 
(созданных самим налогоплательщиком) нематериальных активов до перехода на уплату единого 
сельскохозяйственного налога стоимость основных средств и нематериальных активов включается в 
расходы в следующем порядке: 
в отношении основных средств и нематериальных активов со сроком полезного использования до трех лет 
включительно - в течение первого календарного года применения единого сельскохозяйственного налога; 
в отношении основных средств и нематериальных активов со сроком полезного использования от трех до 
15 лет включительно: в течение первого календарного года применения единого сельскохозяйственного 
налога - 50 процентов стоимости, второго календарного года - 30 процентов стоимости и в течение третьего 
календарного года - 20 процентов стоимости; 
в отношении основных средств и нематериальных активов со сроком полезного использования свыше 15 
лет - в течение первых 10 лет применения единого сельскохозяйственного налога равными долями от 
стоимости основных средств и нематериальных активов.",Налоговый кодекс Российской Федерации.pdf,1486
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?,"Работодатель полностью компенсирует Исполнителю ущерб, понесенный из-за
несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ, а
также в случае задержки сроков выполнения работ по вине Работодателя.",Data1_10_10858_index.pdf,10
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?,"К надзорной жалобе должны быть приложены документ, подтверждающий уплату 
государственной пошлины в установленных законом случаях, порядке и размере или право на 
получение льготы по уплате государственной пошлины, либо в надзорной жалобе должно 
содержаться ходатайство о предоставлении отсрочки или рассрочки уплаты государственной 
пошлины либо об уменьшении ее размера или освобождении от ее уплаты.",Кодекс административного судопроизводства Российской Федерации.pdf,214
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?,"ПРИЛОЖЕНИЕ 3
ОСНОВНЫЕ ТРЕБОВАНИЯ К ЗАДАНИЮ НА РАЗРАБОТКУ СХЕМЫ И ПРОЕКТА
РАЙОННОЙ ПЛАНИРОВКИ, ГЕНЕРАЛЬНОГО ПЛАНА ГОРОДА, ДРУГОГО
ПОСЕЛЕНИЯ, ТЕРРИТОРИИ СЕЛЬСКОГО ОРГАНА МЕСТНОГО
САМОУПРАВЛЕНИЯ
В задании на разработку схемы и проекта районной планировки, генерального плана
города, другого поселения, территории сельского органа моечного самоуправления должны
быть указаны:
наименование объекта, его основные характеристики (местоположение, численность
населения, территория, основные виды ресурсов, профилирующие отрасли производства,
административная 
структура, 
условия 
обеспечения 
инженерно-транспортной
инфраструктурой, другие специфические характеристики);
основание для проектирования;
состав 
участников 
разработки 
и 
согласования 
проектных 
материалов 
и 
их
взаимообязательства;
кем и в какие сроки должны выдаваться исходные данные для проектирования;
состав 
подлежащих 
передаче 
материалов 
и 
услуг 
по 
этапам 
(если 
они
предусматриваются), сроки и стоимость работ;
требования к содержанию и форме представляемых материалов, сроки проектирования;",Data1_1_1904_index.pdf,27
Что такое заключение под стражу?,"Комментарии к статьям на сайте 
https://grkodeksrf.ru/ 
 
 
 
 
 
3) принятие решения о комплексном развитии территории нежилой застройки и его опубликование в 
порядке, установленном для официального опубликования правовых актов, иной официальной 
информации; 
4) заключение договора о комплексном развитии территории нежилой застройки с правообладателями, 
выразившими в письменной форме согласие на его заключение, при условии, что такое согласие было 
получено от всех правообладателей объектов недвижимого имущества, расположенных в границах 
территории, в отношении которой подготовлен проект решения о комплексном развитии нежилой 
территории, и представлено в орган, направивший предложение о заключении указанного договора, не 
позднее сорока пяти дней со дня получения правообладателем этого предложения.",Градостроительный кодекс Российской Федерации.pdf,299
