question,answer,sources
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?","В предоставленных фрагментах **нет определения понятия “особые условия”** применительно к сдаче в аренду земельных участков и других обособленных природных объектов.

Единственное, что можно извлечь из текста по теме:  
- указано, что **законом могут быть установлены особенности сдачи в аренду земельных участков и других обособленных природных объектов** (это говорится в сообщении перед фрагментом с заголовком про земли).

Однако **само словосочетание “особыми условиями” и его конкретный смысл** в данных документах **не раскрыты**. Поэтому:

**Ответ:** нет в документах.","Градостроительный кодекс Российской Федерации.pdf:page_303, Гражданский кодекс Российской Федерации.pdf:page_147, Гражданский кодекс Российской Федерации.pdf:page_283, Гражданский кодекс Российской Федерации.pdf:page_284, Гражданский кодекс Российской Федерации.pdf:page_296, Земельный кодекс Российской Федерации.pdf:page_184, Земельный кодекс Российской Федерации.pdf:page_28, Земельный кодекс Российской Федерации.pdf:page_3, Земельный кодекс Российской Федерации.pdf:page_41, Земельный кодекс Российской Федерации.pdf:page_45"
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000),"Основные положения **генеральной схемы расселения** учитываются на последующих стадиях градостроительного проектирования, при этом они:

- учитываются при **осуществлении органами исполнительной власти субъектов РФ** регулирования деятельности в области расселения и территориальной организации;
- учитываются **всеми участниками градостроительной деятельности** в границах проектируемого региона.

(Фрагмент: **«Основные положения региональных схем расселения учитываются на последующих стадиях…»** — в предоставленном тексте это сформулировано именно применительно к региональным схемам; про генеральную в приведенном фрагменте прямого указания нет.)","Data1_10_10859_index.pdf:page_6, Data1_1_1904_index.pdf:page_1, Data1_1_1904_index.pdf:page_12, Data1_1_1904_index.pdf:page_2, Data1_1_1904_index.pdf:page_29, Data1_1_1904_index.pdf:page_3, Data1_1_1904_index.pdf:page_5, Data1_1_1904_index.pdf:page_6, Data1_1_1904_index.pdf:page_7, Data1_1_1904_index.pdf:page_9"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?,"В предоставленном фрагменте текста **нет информации о ГОСТ МДС 80-2.2000** и, соответственно, **нет указания мер наказания за нарушение соглашения о недопущении конкуренции**, кроме общего упоминания внутри самого примерного соглашения:

- **«В случае любого нарушения настоящего соглашения организация имеет право на освобождение от ответственности по судебному запрету с денежной компенсацией.»**

Однако **конкретных мер наказания**, предусмотренных именно **ГОСТ МДС 80-2.2000**, в ваших данных **нет**.

**Ответ:** нет в документах (ГОСТ МДС 80-2.2000 в тексте не приведён; меры наказания из ГОСТ не указаны).","Data1_10_10872_index.pdf:page_9, Административный кодекс Российской Федерации.pdf:page_275, Административный кодекс Российской Федерации.pdf:page_278, Административный кодекс Российской Федерации.pdf:page_283, Административный кодекс Российской Федерации.pdf:page_285, Административный кодекс Российской Федерации.pdf:page_287, Административный кодекс Российской Федерации.pdf:page_387, Административный кодекс Российской Федерации.pdf:page_388, Административный кодекс Российской Федерации.pdf:page_45, Уголовный кодекс Российской Федерации.pdf:page_107"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_0, Административный кодекс Российской Федерации.pdf:page_454, Административный кодекс Российской Федерации.pdf:page_463, Административный кодекс Российской Федерации.pdf:page_464, Административный кодекс Российской Федерации.pdf:page_494, Административный кодекс Российской Федерации.pdf:page_496, Административный кодекс Российской Федерации.pdf:page_500, Административный кодекс Российской Федерации.pdf:page_501, Административный кодекс Российской Федерации.pdf:page_506, Административный кодекс Российской Федерации.pdf:page_575"
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?","В предоставленном фрагменте **нет** требований к стальным конструкциям, установленных **СНиП II-23-81*** (изд. 1990 г.).  

Упоминание СНиП II-23-81* в тексте отсутствует, и приведены требования по другим темам (осмотры наружных стен, кладка, гидроизоляция, окна/двери и т.п.), без разделов про стальные конструкции.  

**Ответ:** нет в документах.","Data1_10_10846_index.pdf:page_3, Data1_10_10861_index.pdf:page_14, Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_17, Data1_10_10861_index.pdf:page_18, Data1_10_10861_index.pdf:page_20, Data1_10_10865_index.pdf:page_39, Data1_11_11285_index.pdf:page_50, Data1_2_2076_index.pdf:page_14, Data1_2_2079_index.pdf:page_12"
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?,"Согласно фрагменту **ГОССТРОЙ РОССИИ МДС 80-3.2000** (п. **3.3**):  

> «Если у заказчика … основным критерием оценки оферт является цена, то максимальное число баллов по этому показателю рекомендуется устанавливать **в размере до 800 баллов**.»

**Ответ: до 800 баллов.**","Data1_10_10754_index.pdf:page_3, Data1_10_10864_index.pdf:page_19, Data1_10_10864_index.pdf:page_33, Data1_10_10866_index.pdf:page_1, Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_2, Data1_10_10869_index.pdf:page_4, Data1_10_10869_index.pdf:page_5, Data1_10_10869_index.pdf:page_6, Data1_2_2075_index.pdf:page_17"
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?","В предоставленном фрагменте текста есть только заголовок и начало статьи:

- **Статья 165. Усыновление (удочерение)** — указано:  
  «**1. Усыновление (удочерение), в том числе отмена усыновления, на территории Российской Федерации иностранными гражданами или лиц…**»  

Но **сам ответ о порядке усыновления иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами РФ, в предоставленном тексте отсутствует** (фраза обрывается, дальнейшее содержание статьи не приведено).

**Частичный ответ:** только то, что такие усыновления регулируются **ст. 165 СК РФ**.

Ответ по существу (как именно производится) — **нет в документах**.","Гражданский процессуальный кодекс Российской Федерации.pdf:page_110, Семейный кодекс Российской Федерации.pdf:page_14, Семейный кодекс Российской Федерации.pdf:page_34, Семейный кодекс Российской Федерации.pdf:page_36, Семейный кодекс Российской Федерации.pdf:page_37, Семейный кодекс Российской Федерации.pdf:page_38, Семейный кодекс Российской Федерации.pdf:page_41, Семейный кодекс Российской Федерации.pdf:page_43, Семейный кодекс Российской Федерации.pdf:page_52, Семейный кодекс Российской Федерации.pdf:page_54"
Что такое коллективный трудовой спор?,"Коллективный трудовой спор — это **неурегулированные разногласия между работниками (их представителями) и работодателями (их представителями)** по поводу **установления и изменения условий труда (включая заработную плату)**, **заключения, изменения и выполнения коллективных договоров, соглашений**, а также **в связи с отказом работодателя учесть мнение выборного представительного органа работников** при принятии локальных нормативных актов.","Трудовой кодекс Российской Федерации.pdf:page_0, Трудовой кодекс Российской Федерации.pdf:page_1, Трудовой кодекс Российской Федерации.pdf:page_152, Трудовой кодекс Российской Федерации.pdf:page_234, Трудовой кодекс Российской Федерации.pdf:page_244, Трудовой кодекс Российской Федерации.pdf:page_245, Трудовой кодекс Российской Федерации.pdf:page_255, Трудовой кодекс Российской Федерации.pdf:page_27, Трудовой кодекс Российской Федерации.pdf:page_29, Трудовой кодекс Российской Федерации.pdf:page_37"
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?,"В предоставленном фрагменте есть только упоминание **ст. 275 ТК РФ “Заключение трудового договора с руководителем организации”**, но сам текст статьи **обрезан** (“В случае, когда в соответствии с частью второй статьи 59…”), поэтому перечень процедур, которые могут предшествовать заключению трудового договора, в этих документах **не приведён**.

**Ответ: нет в документах**.","Трудовой кодекс Российской Федерации.pdf:page_0, Трудовой кодекс Российской Федерации.pdf:page_160, Трудовой кодекс Российской Федерации.pdf:page_168, Трудовой кодекс Российской Федерации.pdf:page_18, Трудовой кодекс Российской Федерации.pdf:page_203, Трудовой кодекс Российской Федерации.pdf:page_245, Трудовой кодекс Российской Федерации.pdf:page_42, Трудовой кодекс Российской Федерации.pdf:page_48, Трудовой кодекс Российской Федерации.pdf:page_54, Трудовой кодекс Российской Федерации.pdf:page_9"
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?","При помещении продуктов переработки под таможенную процедуру **выпуска для внутреннего потребления**:

- **Ввозные таможенные пошлины** исчисляются исходя из стоимости операций по переработке **вне таможенной территории Союза** (ст. 186, п. 1). Стоимость таких операций определяется как совокупность фактически понесенных расходов на:
  1) операции по переработке (ремонту);
  2) иностранные товары, использованные в процессе переработки (ремонта), если они не включены в расходы на операции по переработке (ремонту) (ст. 186, п. 2).

- **Налоги, специальные, антидемпинговые, компенсационные пошлины** — обязанность по их уплате у декларанта **не возникает** (ст. 199, п. 2).","Таможенный кодекс Евразийского экономического союза.pdf:page_105, Таможенный кодекс Евразийского экономического союза.pdf:page_112, Таможенный кодекс Евразийского экономического союза.pdf:page_148, Таможенный кодекс Евразийского экономического союза.pdf:page_159, Таможенный кодекс Евразийского экономического союза.pdf:page_179, Таможенный кодекс Евразийского экономического союза.pdf:page_204, Таможенный кодекс Евразийского экономического союза.pdf:page_216, Таможенный кодекс Евразийского экономического союза.pdf:page_236, Таможенный кодекс Евразийского экономического союза.pdf:page_255, Таможенный кодекс Евразийского экономического союза.pdf:page_98"
Что такое государственная собственность в Российской Федерации?,"Государственной собственностью в Российской Федерации является имущество, принадлежащее на праве собственности **Российской Федерации** (федеральная собственность) и имущество, принадлежащее на праве собственности **субъектам Российской Федерации** (республикам, краям, областям, городам федерального значения, автономной области, автономным округам — собственность субъекта РФ).","Бюджетный кодекс Российской Федерации.pdf:page_108, Гражданский кодекс Российской Федерации.pdf:page_0, Гражданский кодекс Российской Федерации.pdf:page_128, Гражданский кодекс Российской Федерации.pdf:page_141, Гражданский кодекс Российской Федерации.pdf:page_86, Гражданский кодекс Российской Федерации.pdf:page_90, Земельный кодекс Российской Федерации.pdf:page_18, Земельный кодекс Российской Федерации.pdf:page_2, Земельный кодекс Российской Федерации.pdf:page_3, Семейный кодекс Российской Федерации.pdf:page_8"
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?","В приведённом тексте **нет требований к материалам утепления опорных контуров** с отсылкой к ГОСТ 9573-82, ГОСТ 20916-87 и ГОСТ 15588-86.

Есть только общее требование по монтажу: «**утепление стенок опорных контуров**», но **какие именно материалы и по каким требованиям** (по указанным ГОСТ) — **не указано**.

**Ответ:** нет в документах.","Data1_10_10846_index.pdf:page_18, Data1_10_10846_index.pdf:page_6, Data1_10_10852_index.pdf:page_38, Data1_10_10861_index.pdf:page_17, Data1_10_10861_index.pdf:page_5, Data1_10_10861_index.pdf:page_9, Data1_10_10865_index.pdf:page_38, Data1_10_10865_index.pdf:page_39, Data1_2_2079_index.pdf:page_17, Data1_2_2081_index.pdf:page_11"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?,"Методические рекомендации **«по разработке технической части тендерной документации и оферты претендента»** были **одобрены Научно-техническим советом Минстроя России**, протокол **№ 23-10/9 от 26 августа 1994 г.**.","Data1_10_10858_index.pdf:page_2, Data1_10_10858_index.pdf:page_21, Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_24, Data1_10_10865_index.pdf:page_3, Data1_10_10865_index.pdf:page_36, Data1_10_10866_index.pdf:page_1, Data1_10_10866_index.pdf:page_10, Data1_10_10866_index.pdf:page_7, Data1_10_10869_index.pdf:page_1"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_268, Административный кодекс Российской Федерации.pdf:page_304, Административный кодекс Российской Федерации.pdf:page_399, Административный кодекс Российской Федерации.pdf:page_401, Административный кодекс Российской Федерации.pdf:page_404, Административный кодекс Российской Федерации.pdf:page_405, Административный кодекс Российской Федерации.pdf:page_408, Налоговый кодекс Российской Федерации.pdf:page_360, Налоговый кодекс Российской Федерации.pdf:page_362, Уголовный кодекс Российской Федерации.pdf:page_126"
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?","Согласно приведенному фрагменту (ГОСТ МДС 13-18.2000), замене подлежат следующие участки/элементы трубопроводов:

- **Отдельные участки трубопроводов вследствие износа труб**, при этом **без изменения диаметра труб**.  
- При этом разрешена замена **материала труб**: чугунные на стальные, керамических на бетонные или железобетонные и наоборот, **но не допускается** замена **асбестоцементных труб на металлические** (кроме аварийных случаев).  
- **Протяженность участков**, на которых допускается **сплошная смена труб**, — **не должна превышать 200 м на 1 км сети**.  

Также в тексте отдельно указано, что под замену (как фасонные части) подпадают:
- **изношенные фасонные части, задвижки, пожарные гидранты, вантузы, клапаны, водоразборные колонки** — путем смены или ремонта **с заменой изношенных деталей**;
- **отдельные трубы дюкеров** (смена отдельных труб дюкеров).  

Если вам нужно именно “участки трубопроводов” (только про трубы), то это формулировка: **изношенные участки труб без увеличения/изменения диаметра**, с ограничением по протяженности (200 м на 1 км).","Data1_1_1879_index.pdf:page_21, Data1_1_1879_index.pdf:page_22, Data1_1_1879_index.pdf:page_24, Data1_1_1879_index.pdf:page_25, Data1_1_1879_index.pdf:page_26, Data1_1_1879_index.pdf:page_28, Data1_1_1879_index.pdf:page_29, Data1_1_1879_index.pdf:page_30, Data1_1_1879_index.pdf:page_31, Data1_1_1879_index.pdf:page_7"
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?,"В предоставленных фрагментах **нет информации**, какие именно **правила и инструкции** издает федеральный орган исполнительной власти в области рыболовства.  

**Ответ:** нет в документах.","Административный кодекс Российской Федерации.pdf:page_129, Водный кодекс Российской Федерации.pdf:page_12, Водный кодекс Российской Федерации.pdf:page_13, Водный кодекс Российской Федерации.pdf:page_14, Водный кодекс Российской Федерации.pdf:page_29, Водный кодекс Российской Федерации.pdf:page_30, Водный кодекс Российской Федерации.pdf:page_4, Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_0, Кодекс торгового мореплавания Российской Федерации.pdf:page_0, Налоговый кодекс Российской Федерации.pdf:page_1235"
