question,answer
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?," В ГОСТ МДС 80-2.2000 не указаны конкретные меры наказания за нарушение соглашения о недопущении конкуренции, однако в приложении 3 к этому документу предлагаются следующие варианты:
1. Наложение административного штрафа на должностных лиц в размере от тридцати тысяч до пятидесяти тысяч рублей или дисквалификацию на срок до двух лет за повторное совершение административного правонарушения.
2. Судебное преследование и освобождение от ответственности по судебному запрету с денежной компенсацией в случае любого нарушения соглашения о недопущении конкуренции."
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?"," Органы исполнительной власти субъектов Российской Федерации имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ, если это предусмотрено нормативными правовыми актами Президента или Правительства РФ о передаче полномочий федеральным органам исполнительной власти для осуществления органам исполнительной власти субъектов РФ."
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?"," СНиП II-23-81, изд. 1990 г., устанавливает требования к алюминиевым конструкциям, включая их проектирование, разработку технологических процессов и производство, но не содержит сведений о стальных конструкциях."
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?, Максимальное число баллов по показателю 'цена' рекомендуется установить в размере до 800 баллов согласно ГОСТ МДС 80-3.2000.
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?"," Усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации, производится по следующему порядку:

1. На территории Российской Федерации усыновляющим должен быть гражданин государства, где проживает ребенок, или ребенком не должен быть лицо без гражданства - в государстве, где это лицо имеет постоянное место жительство.
2. Для усыновления должны быть соблюдены требования статей 124-126, 128, 129, 130 (за исключением абзаца пятого), 131-133 Семейного кодекса РФ с учетом положений международного договора РФ о межгосударственном сотрудничестве в области усыновления детей.
3. Если ребенок является гражданином Российской Федерации, то необходимо получение предварительного разрешения на усыновление (удочерение) от органа исполнительной власти субъекта Российской Федерации, на территории которого ребенок или его родители (один из них) проживали до выезда за пределы территории Российской Федерации.
4. Усыновление иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами РФ, осуществляется по установленному настоящим Кодексом для граждан Российской Федерации (если иное не предусмотрено международным договором РФ).
5. В случае отсутствия совместного места жительства родителей и детей, права и обязанности родителей и детей определяются законодательством государства, гражданином которого является ребенок."
Что такое коллективный трудовой спор?," Коллективный трудовой спор - это разногласия между работниками (их представителями) и работодателями (их представителями) по поводу установления и изменения условий труда, заключения, изменения и выполнения коллективных договоров, а также в связи с отказом работодателя учесть мнение выборного представительного органа работников при принятии локальных нормативных актов."
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?," Могут быть установлены процедуры, предшествующие заключению трудового договора с руководителем организации, например: проведение конкурса, избрание или назначение на должность."
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?"," Ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления определяются исходя из стоимости операций по переработке вне таможенной территории Союза. Стоимость операций по переработке вне таможенной территории Союза - это совокупность фактически понесенных расходов на операции по переработке (ремонту) и иностранные товары, использованные в процессе переработки (ремонта), если они не включены в расходы на операции по переработке (ремонту). Если заявленная при таможенном декларировании продуктов переработки стоимость операций по переработке вне таможенной территории Союза не подтверждена документально или представленные документы не подтверждают заявленные сведения о стоимости таких операций, она определяется как разность таможенной стоимости продуктов переработки и стоимости товаров, помещенных под таможенную процедуру переработки вне таможенной территории. Если к продуктам переработки применяются специфические ставки ввозных таможенных пошлин, сумма подлежащих уплате ввозных таможенных пошлин определяется как произведение суммы ввозной таможенной пошлины, исчисленной по специфической ставке в отношении продуктов переработки, на соотношение стоимости операций по переработке вне таможенной территории Союза к таможенной стоимости продуктов переработки."
Что такое государственная собственность в Российской Федерации?," Государственная собственность в Российской Федерации - это собственность, принадлежащая Российской Федерации или её субъектам (например, городам федерального значения) на праве собственности."
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?"," Материалы для утепления опорных контуров должны соответствовать ГОСТ 9573-82, ГОСТ 20916-87 и ГОСТ 15588-86. Это минераловатные плиты или плиты из пенопласта или полистирольные типа ПСБ-С с антипиреном. Плита утеплителя должна иметь плотность не более 250 кг/м3."
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?," Научно-техническим советом Минстроя России, протокол № 23-10/9 от 26 августа 1994 г., и Утверждены Межведомственной комиссией по подрядным торгам при Минстрое России, протокол № 5 от 17 февраля 1995 г."
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?"," За непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации, налагается административный штраф на граждан в размере от одной тысячи пятисот до двух тысяч пятисот рублей, на должностных лиц - от десяти тысяч до пятнадцати тысяч рублей, а на юридических лиц - от пятидесяти тысяч до пятисот тысяч рублей."
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?"," Ответ:
Участки трубопроводов подлежат замене, если коррозионный износ превышает 60 % или более 0,7 свища на 1 п.м трубопровода."
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?," Федеральный орган исполнительной власти в области рыболовства издает правила, инструкции и иные акты, содержащие нормы права, регулирующие отношения, возникающие в связи с рыболовством, включая:
• статьи 8.33-8.48 настоящего Кодекса (некоторые части),
• часть 1 статьи 8.42,
• статью 11.6,
• частями 1 и 1.1 статьи 11.7,
• статьи 11.8-11.11,
• часть 2 статьи 11.17 настоящего Кодекса."
Какие примеры нематериальных активов приведены в тексте?," В тексте приведены следующие примеры нематериальных активов:
1) исключительное право патентообладателя на изобретение, промышленный образец, полезную модель;
2) исключительное право автора и иного правообладателя на использование программы для ЭВМ, базы данных;
3) исключительное право автора или иного правообладателя на использование топологии интегральных микросхем;
4) исключительное право на товарный знак, знак обслуживания, наименование места происхождения товаров и фирменное наименование;
5) исключительное право патентообладателя на селекционные достижения;
6) владение ""ноу-хау"", секретной формулой или процессом, информацией в отношении промышленного, коммерческого или научного опыта;
7) исключительное право на аудиовизуальные произведения."
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?," В ГОСТе МДС 11-11.2000 нет прямого указания на способы компенсации ущерба Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ. Однако, по принципу равноправия сторон и соблюдения договоренностей, отказ от оплаты выполненных работ может быть расцениваться как нарушение контракта, вследствие чего Исполнитель имеет право требовать компенсацию ущерба."
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?," Согласно ГОСТу МДС 81-23.2000 предусмотрены четыре основные группы налогов: федеральные налоги, налоги субъектов Российской Федерации (республик, краев, областей, автономных образований), местные налоги и отдельные отчисления и платежи. Не упомянуто ничего о способах их уплаты."
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?," В форме 5 каталожных листов для проектной документации типовых строительных конструкций, изделий и узлов зданий и сооружений должны быть указаны инвентарный номер проектной документации и номер каталожного листа. Эти данные помещаются в последней графе на последней странице каталожного листа."
Что такое заключение под стражу?," Заключение под стражу - это мягкая пресечная мера в виде содержания в специальном учреждении или на свободе под надзором, применяемая судом в отношении подозреваемого или обвиняемого в совершении тяжкого преступления, когда невозможно применение иной мягкой пресечной меры. Оно может быть применено на срок свыше трех лет."
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?"," Согласно ГОСТу МДС 11-11.2000 процедура отбора лучшего предложения может длиться в течение определенного срока, установленного регламентом работы тендерного комитета, но не указано конкретное время."
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?," После отзыва заявления об открытой лицензии патентообладатель должен доплатить пошлину за поддержание патента в силе за период, прошедший со дня публикации сведений об открытой лицензии, и в дальнейшет уплачивать ее в полном размере."
Какие объекты могут быть оценены с помощью УПБС согласно СНиПу?," Объекты, которые могут быть оценены с помощью УПБС согласно СНиПу: объекты жилищно-гражданского назначения."
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?, По данным введённому документу (Методические рекомендации по разработке технической части тендерной документации и оферты предназначены для всех субъектов инвестиционной деятельности) нет сведений об указании площадей бетоносмесителей в ГОСТ МДС-80-8.2000.
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?," По данным МДС 81-30.2002, затраты на получение исходных данных и согласование по проектным решениям определяются на основании расчетов и цен на эти услуги, а также согласно письму Минстроя России от 14.11.96 № БЕ-19-30/12."
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?," В статьях 6.25, 6.32 и 6.33 Кодекса Российской Федерации о защите прав граждан в сфере охраны здоровья, определены нарушения, которые относятся к категории административных правонарушений:

1. Нарушение запрета курения табака, потребления никотинсодержащей продукции или использования кальянов на отдельных территориях, в помещениях и на объектах, а также на детских площадках.
2. Несоблюдение требований к знаку о запрете курения табака, потребления никотинсодержащей продукции или использования кальянов и неисполнение обязанностей по контролю за соблюдением норм законодательства в сфере охраны здоровья граждан от воздействия окружающего табачного дыма, последствий потребления табака или потребления никотинсодержащей продукции на территориях и в помещениях.
3. Нарушение требований законодательства в сфере охраны здоровья при проведении искусственного прерывания беременности, включая несоблюдение сроков и получение информированного добровольного согласия.
4. Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок.

Возможно также применить статьи, связанные с нарушением правил безопасности в области обращения лекарственных средств для ветеринарного применения и земель сельскохозяйственного назначения, а также с распространением недостоверной информации, которая может повлекнуть за собой ущерб здоровью человека."
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?," Анкерные блоки и закладные детали устанавливаются в запланированных местах, их местоположение определяют от граней щитов коробок опалубки и закрепляют яркой краской на рабочем полу опалубки."
Какой телефон указан для бесплатной юридическая консультации в регионах России?, 8 (800) 301-92-12
В каких условиях содержатся осужденные к аресту?," Осужденные к аресту содержатся в условиях строгой изоляции, раздельно от других категорий лиц и размещаются: осужденные мужчины, осужденные женщины, а также осужденные, ранее отбывавшие наказание в исправительных учреждениях и имеющие судимость. Они содержатся в запираемых общих камерах, с возможностью ежедневной прогулки продолжительностью не менее одного часа. При исключительных личных обстоятельствах осужденным к аресту может быть разрешен телефонный разговор с близкими."
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?," Таможенный орган отказывает в выпуске товаров при предварительном декларировании в следующих случаях:
1) Невыполнение условий, при которых таможенный орган производит выпуск товаров.
2) Невыполнение требований таможенного органа об изменении (дополнении) сведений, заявленных в таможенной декларации.
3) Наступление при предварительном таможенном декларировании обстоятельств, предусмотренных пунктом 6 статьи 114 настоящего Кодекса.
4) Несоблюдение при периодическом таможенном декларировании особенностей такого таможенного декларирования, предусмотренных пунктами 1 и 2 статьи 116 настоящего Кодекса, и (или) наличие у декларанта не исполненной в установленный срок обязанности по уплате таможенных платежей, специальных, антидемпинговых, компенсационных пошлин, процентов и (или) пеней.
5) Непредъявление товара по требованию таможенного органа в пределах сроков выпуска товаров, установленных пунктами 3 и 6 статьи 119 настоящего Кодекса.
6) Невозобновление срока выпуска товаров в случаях, предусмотренных пунктами 6 и 11 статьи 124 настоящего Кодекса.
7) Невыполнение требований, предусмотренных пунктами 2 и 7 статьи 325 настоящего Кодекса.
8) Неотнесение товаров, заявленных в пассажирской таможенной декларации, к товарам для личного пользования в соответствии с пунктом 4 статьи 256 настоящего Кодекса.
9) Выявление при проведении таможенного контроля товаров таможенными органами нарушений международных договоров и актов в сфере таможенного регулирования и (или) законодательства государств-членов, за исключением случаев, когда:
    выявленные нарушения, не являющиеся основаниями для возбуждения административного или уголовного дела, устранены;
    выявленные нарушения устранены, декларируемые товары не изъяты, и на них не наложен арест в соответствии с законодательством государств-членов."
Что такое процессуальное решение по определению статьи 33?," Процессуальное решение - это судебный акт, который принимается судом в ходе судебного разбирательства (по процедуре) и имеет целью рассмотрение и разрешение конкретных вопросов по делу. По статье 33 Кодекса РФ осуществляется принятие решения судом, завершающего производство по гражданскому делу с установлением взыскиваемой или возмещательной суммы, признанием факта неприемлемости требований истца, отказом в удовлетворении требований одной из сторон или обязательством обеих сторон о выполнении соглашения."
Что означает знак 5.22?," Знак 5.22 обозначает ""Конец жилой зоны""."
"Какие требования ГОСТ или СНиП регулируют проектирование кладбища площадью до 0,5 га?"," Требования к проектированию кладбища площадью до 0,5 га регулируются ГОСТом 31279-84 и СНиПом 2.06.05-84."
Какие ГОСТы или СНиПы регламентируют расчет затрат на эксплуатацию строительных машин?," ГОСТы или СНиПы, регламентирующие расчет затрат на эксплуатацию строительных машин, упомянуты не в тексте. Расчет затрат на эксплуатацию строительных машин определяется исходя из данных о времени использования (нормативная потребность) и соответствующих сметных расценок, приведенных в Методических указаниях по разработке сметных норм и расценок на эксплуатацию строительных машин и автотранспортных средств (МДС 81-3.99)."
Какие требования МДС 14-13.2000 предъявляет к площади прочих помещений?," По МДС 14-13.2000, для жилых комнат, кухонь, входных тамбуров (кроме ведущих непосредственно в квартиры), лестничных клетках, общих коридоров в зданиях коридорного типа, помещений общего пользования в общежитиях требуется обеспечить площадь естественного освещения не менее чем 1:5,5. Для остальных помещений минимальное отношение должно быть не менее 1:8."
Какие преступления относятся к уголовным делам частного обвинения?," Преступления, относящиеся к уголовным делам частного обвинения, определены в статье 20 Уголовного кодекса Российской Федерации. Такими преступлениями являются деяния, предусмотренные статьями 115 части первой, 116.1 частью первой, 128.1 частью первой Уголовного кодекса Российской Федерации, а также уголовные дела о преступлениях, предусмотренных статьями 159 частями пятой - седьмой Уголовного кодекса Российской Федерации, если они совершены индивидуальным предпринимателем в связи с осуществлением им предпринимательской деятельности и (или) управлением принадлежащим ему имуществом, используемым в целях предпринимательской деятельности, либо если эти преступления совершены членом органа управления коммерческой организации в связи с осуществлением им полномочий по управлению организацией либо в связи с осуществлением коммерческой организацией предпринимательской или иной экономической деятельности. К уголовным делам частно-публичного обвинения относятся уголовные дела о преступлениях, предусмотренных статьями 131 части первой, 132 частью первой, 137 части первой, 138 части первой, 139 части первой, 144.1, 145, 146 частью первой, 147 части первой, 159 частями первой - четвертой, 159.1 - 159.3, 159.5, 159.6, 160, 165, 176 частью первой, 177, 180, 185.1, 201 частью первой Уголовного кодекса Российской Федерации, если они совершены индивидуальным предпринимателем в связи с осуществлением им предпринимательской деятельности и (или) управлением принадлежащим ему имуществом, используемым в целях предпринимательской деятельности."
Что должно содержать пояснительная записка к схеме районной планировки? (ГОСТ МДС 11-7.2000)," Пояснительная записка к схеме районной планировке должна содержать обоснования предложений и решений, перечисленных в пп. 5.2 - 5.7 (включая приложение 11) настоящей Инструкции."
Какие министерства и ведомства утверждают ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000?, Министерство здравоохранения СССР (Минздрав СССР) утверждало ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000.
