question,answer,sources
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?","В предоставленных документах указано, что для зон с особыми условиями использования территории устанавливается исчерпывающий перечень видов деятельности, которые допускаются и (или) запрещаются в границах указанной зоны, а также что земельные участки в границах таких зон у собственников и арендаторов не изымаются, если иное не предусмотрено федеральным законом.

Соответственно, в контексте сдачи в аренду земельных участков «особые условия» означают ограничения по использованию территории в пределах зон с особыми условиями использования территории (что разрешено/запрещено осуществлять в их границах).","Гражданский кодекс Российской Федерации.pdf:page_284, Земельный кодекс Российской Федерации.pdf:page_185, Земельный кодекс Российской Федерации.pdf:page_186, Земельный кодекс Российской Федерации.pdf:page_189, Земельный кодекс Российской Федерации.pdf:page_195"
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000),"Основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования при осуществлении органами исполнительной власти субъектов Российской Федерации регулирования деятельности в области расселения и территориальной организации, а также учитываются всеми участниками градостроительной деятельности в границах проектируемого региона.","Data1_1_1904_index.pdf:page_1, Data1_1_1904_index.pdf:page_5, Data1_1_1904_index.pdf:page_6, Data1_1_1904_index.pdf:page_7, Data1_1_1904_index.pdf:page_9"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?,нет в документах,"Data1_10_10872_index.pdf:page_1, Data1_10_10872_index.pdf:page_5, Data1_10_10872_index.pdf:page_8, Data1_10_10872_index.pdf:page_9, Административный кодекс Российской Федерации.pdf:page_255"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_464, Административный кодекс Российской Федерации.pdf:page_466, Административный кодекс Российской Федерации.pdf:page_494, Административный кодекс Российской Федерации.pdf:page_500, Административный кодекс Российской Федерации.pdf:page_504"
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?",нет в документах,"Data1_10_10846_index.pdf:page_16, Data1_10_10846_index.pdf:page_3, Data1_10_10861_index.pdf:page_15, Data1_10_10861_index.pdf:page_17, Data1_10_10861_index.pdf:page_25"
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?,"Если у заказчика на строительство объектов основным критерием оценки оферт является цена, то максимальное число баллов по этому показателю рекомендуется устанавливать в размере до **800 баллов**.","Data1_10_10754_index.pdf:page_3, Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_4, Data1_10_10869_index.pdf:page_5, Data1_2_2117_index.pdf:page_1"
"Как производится усыновление ребенка иностранными гражданами или лицами без гражданства, состоящими в браке с гражданами Российской Федерации?",нет в документах,"Гражданский процессуальный кодекс Российской Федерации.pdf:page_112, Гражданский процессуальный кодекс Российской Федерации.pdf:page_113, Семейный кодекс Российской Федерации.pdf:page_37, Семейный кодекс Российской Федерации.pdf:page_52, Семейный кодекс Российской Федерации.pdf:page_53"
Что такое коллективный трудовой спор?,нет в документах,"Трудовой кодекс Российской Федерации.pdf:page_239, Трудовой кодекс Российской Федерации.pdf:page_244, Трудовой кодекс Российской Федерации.pdf:page_247, Трудовой кодекс Российской Федерации.pdf:page_249, Трудовой кодекс Российской Федерации.pdf:page_250"
Какие процедуры могут предшествовать заключению трудового договора с руководителем организации?,"По представленным документам указаны только следующие процедурные элементы, которые могут предшествовать заключению трудового договора с руководителем организации:

1) **Избрание на должность** — для должностей **декана факультета** и **заведующего кафедрой** (порядок выборов устанавливается уставами образовательных организаций высшего образования).

Других процедур, предшествующих заключению трудового договора с руководителем организации, в предоставленном контексте **нет в документах**.","Трудовой кодекс Российской Федерации.pdf:page_160, Трудовой кодекс Российской Федерации.pdf:page_162, Трудовой кодекс Российской Федерации.pdf:page_193, Трудовой кодекс Российской Федерации.pdf:page_194, Трудовой кодекс Российской Федерации.pdf:page_197"
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины при помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления?",При помещении продуктов переработки под таможенную процедуру выпуска для внутреннего потребления ввозные таможенные пошлины исчисляются исходя из стоимости операций по переработке.,"Таможенный кодекс Евразийского экономического союза.pdf:page_155, Таможенный кодекс Евразийского экономического союза.pdf:page_196, Таможенный кодекс Евразийского экономического союза.pdf:page_197, Таможенный кодекс Евразийского экономического союза.pdf:page_204, Таможенный кодекс Евразийского экономического союза.pdf:page_269"
Что такое государственная собственность в Российской Федерации?,"В документах указано, что в Российской Федерации признаются **частная, государственная, муниципальная и иные формы собственности** (Статья 212.1).  

Больше определения государственной собственности в представленном контексте **нет в документах**.","Бюджетный кодекс Российской Федерации.pdf:page_69, Гражданский кодекс Российской Федерации.pdf:page_127, Жилищный кодекс Российской Федерации.pdf:page_80, Земельный кодекс Российской Федерации.pdf:page_19, Земельный кодекс Российской Федерации.pdf:page_91"
"Какие требования предъявляются к материалам утепления опорных контуров согласно ГОСТ 9573-82, ГОСТ 20916-87, ГОСТ 15588-86?",нет в документах,"Data1_10_10846_index.pdf:page_2, Data1_10_10846_index.pdf:page_8, Data1_10_10846_index.pdf:page_9, Data1_10_10852_index.pdf:page_16, Data1_11_11295_index.pdf:page_26"
Кто одобрил Методические рекомендации по разработке технической части тендерной документации и оферты претендента?,Межведомственной комиссией по подрядным торгам при Госстрое России.,"Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_36, Data1_10_10866_index.pdf:page_7, Data1_10_10867_index.pdf:page_1, Data1_10_10869_index.pdf:page_1"
"Что грозит за непредставление или несвоевременное представление сведений, предусмотренных антимонопольным законодательством Российской Федерации?","За **непредставление или несвоевременное представление в федеральный антимонопольный орган, его территориальный орган сведений (информации), предусмотренных законодательством о рекламе**, а равно представление таких сведений (информации) **в неполном объеме или в искаженном виде либо представление недостоверных сведений (информации)** предусмотрено:

- штраф на должностных лиц **от 2 000 до 10 000 рублей**;
- штраф на юридических лиц **от 20 000 до 200 000 рублей**.","Административный кодекс Российской Федерации.pdf:page_268, Административный кодекс Российской Федерации.pdf:page_408, Административный кодекс Российской Федерации.pdf:page_409, Административный кодекс Российской Федерации.pdf:page_410, Административный кодекс Российской Федерации.pdf:page_411"
"Какие участки трубопроводов подлежат замене, согласно ГОСТ МДС 13-18.2000?","Подлежат замене участки трубопроводов систем отопления, на которых выявляется:

- более **0,7 свища** (в т.ч. заваренного) на **1 п.м** трубопровода; **или**
- **коррозионный износ превышает 60 %**.

Также подлежат замене отдельные участки трубопроводов (вследствие износа труб) **без увеличения диаметра труб**.","Data1_10_10852_index.pdf:page_20, Data1_1_1879_index.pdf:page_20, Data1_1_1879_index.pdf:page_29, Data1_1_1879_index.pdf:page_30, Data1_1_1879_index.pdf:page_32"
Какие правила и инструкции издает федеральный орган исполнительной власти в области рыболовства?,нет в документах,"Административный кодекс Российской Федерации.pdf:page_476, Кодекс торгового мореплавания Российской Федерации.pdf:page_26, Кодекс торгового мореплавания Российской Федерации.pdf:page_3, Лесной кодекс Российской Федерации.pdf:page_20, Лесной кодекс Российской Федерации.pdf:page_51"
Какие примеры нематериальных активов приведены в тексте?,"В тексте приведены примеры нематериальных активов:
1) исключительное право патентообладателя на изобретение, промышленный образец, полезную модель;  
2) исключительное право автора и иного правообладателя на использование программы для ЭВМ, базы данных;  
3) исключительное право автора или иного правообладателя на использование топологии интегральных микросхем;  
4) исключительное право на товарный знак, знак.","Гражданский кодекс Российской Федерации.pdf:page_101, Налоговый кодекс Российской Федерации.pdf:page_1486, Налоговый кодекс Российской Федерации.pdf:page_285, Налоговый кодекс Российской Федерации.pdf:page_949, Налоговый кодекс Российской Федерации.pdf:page_968"
Как компенсируется ущерб Исполнителю в случае несвоевременной оплаты или необоснованного отказа от оплаты выполненных работ в ГОСТ МДС 11-11.2000?,нет в документах,"Data1_10_10858_index.pdf:page_10, Data1_10_10863_index.pdf:page_1, Гражданский кодекс Российской Федерации.pdf:page_310, Гражданский кодекс Российской Федерации.pdf:page_316, Трудовой кодекс Российской Федерации.pdf:page_148"
Какие способы уплаты государственной пошлины предусмотрены согласно ГОСТ МДС 81-23.2000?,нет в документах,"Data1_10_10754_index.pdf:page_1, Data1_10_10864_index.pdf:page_1, Data1_10_10870_index.pdf:page_1, Data1_2_2069_index.pdf:page_1, Data1_2_2070_index.pdf:page_1"
Какие данные об инвентарном номере и каталожном листе должны быть указаны в форме 5?,нет в документах,"Data1_10_10849_index.pdf:page_1, Data1_10_10849_index.pdf:page_3, Data1_10_10849_index.pdf:page_4, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_215, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_150"
Что такое заключение под стражу?,нет в документах,"Уголовно-процессуальный кодекс Российской Федерации.pdf:page_267, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_286, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_76, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_77, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_81"
"Как долго может длиться процедура отбора лучшего предложения, согласно ГОСТ МДС 11-11.2000?",нет в документах,"Data1_10_10866_index.pdf:page_9, Data1_10_10869_index.pdf:page_1, Data1_1_1904_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Лесной кодекс Российской Федерации.pdf:page_73"
Что происходит с патентной пошлиной после отзыва заявления об открытой лицензии?,"Если до отзыва открытой лицензии никто не изъявил желание использовать селекционное достижение, патентообладатель обязан доплатить пошлину за поддержание патента в силе за период, прошедший со дня публикации сведений об открытой лицензии, и в дальнейшем уплачивать ее в полном размере.  
Если до отзыва открытой лицензии были заключены лицензионные договоры на условиях открытой лицензии, лицензиаты сохраняют свои права на весь срок действия этих договоров, а патентообладатель обязан уплачивать пошлину за поддержание патента в силе.","Гражданский кодекс Российской Федерации.pdf:page_572, Гражданский кодекс Российской Федерации.pdf:page_596, Гражданский кодекс Российской Федерации.pdf:page_606, Гражданский кодекс Российской Федерации.pdf:page_607, Гражданский кодекс Российской Федерации.pdf:page_608"
Какие объекты могут быть оценены с помощью УПБС согласно СНиПу?,"В предоставленном контексте указано, что УПБС разработаны для **объектов жилищно-гражданского назначения**.","Data1_2_2080_index.pdf:page_1, Data1_2_2080_index.pdf:page_7, Data1_2_2080_index.pdf:page_8, Data1_2_2081_index.pdf:page_3, Data1_2_2081_index.pdf:page_6"
Какая площадь бетоносмесителей должна быть предусмотрена согласно ГОСТ МДС-80-8.2000?,нет в документах,"Data1_10_10754_index.pdf:page_1, Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_20, Data1_10_10866_index.pdf:page_1, Data1_11_11295_index.pdf:page_6"
Как определяются затраты на получение исходных данных и согласования по проектным решениям согласно МДС 81-30.2002?,"Согласно приведенному в контексте фрагменту **МДС 81-30.2002**, пункт **9.1.4**:  

**«Затраты, связанные с получением заказчиком и проектной организацией исходных данных, технических условий на проектирование и проведение необходимых согласований по про…»**  

Дальше в предоставленном контексте текст не раскрыт, поэтому способ определения (расчетом/на основании договоров и т.п.) **в документах в данном фрагменте не указан**.","Data1_10_10754_index.pdf:page_1, Data1_10_10848_index.pdf:page_1, Data1_10_10848_index.pdf:page_8, Data1_2_2075_index.pdf:page_1, Data1_2_2079_index.pdf:page_1"
Какие административные правонарушения относятся к категории нарушений законодательства об охране здоровья граждан?,нет в документах,"Административный кодекс Российской Федерации.pdf:page_213, Административный кодекс Российской Федерации.pdf:page_286, Административный кодекс Российской Федерации.pdf:page_450, Административный кодекс Российской Федерации.pdf:page_71, Административный кодекс Российской Федерации.pdf:page_74"
Как согласно СНиП 3.01.03-84 устанавливаются анкерные блоки и закладные детали?,нет в документах,"Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_17, Data1_10_10865_index.pdf:page_30, Data1_11_11285_index.pdf:page_35, Data1_2_2073_index.pdf:page_6"
Какой телефон указан для бесплатной юридическая консультации в регионах России?,8 (800) 301-92-12 (Регионы РФ).,"Административный кодекс Российской Федерации.pdf:page_347, Административный кодекс Российской Федерации.pdf:page_400, Административный кодекс Российской Федерации.pdf:page_425, Гражданский процессуальный кодекс Российской Федерации.pdf:page_110, Гражданский процессуальный кодекс Российской Федерации.pdf:page_123"
В каких условиях содержатся осужденные к аресту?,"Осужденные к аресту отбывают наказание по месту осуждения в арестных домах, как правило, в одном арестном доме; перевод из одного арестного дома в другой допускается в случае его болезни либо дл… (дальше в представленном фрагменте не указано).","Уголовно-исполнительный кодекс Российской Федерации.pdf:page_37, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_46, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_6, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_76, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_83"
В каких случаях таможенный орган отказывает в выпуске товаров при предварительном декларировании?,"Таможенный орган отказывает в выпуске товаров при предварительном декларировании в случаях, если:  
1) не выполнены условия, при которых таможенный орган производит выпуск товаров (в том числе условия, предусмотренные статьями 120–123 настоящего Кодекса);  
2) не выполнены требования таможенного органа об изменении (дополнении) сведений, заявленных в таможенной декларации.","Таможенный кодекс Евразийского экономического союза.pdf:page_125, Таможенный кодекс Евразийского экономического союза.pdf:page_126, Таможенный кодекс Евразийского экономического союза.pdf:page_141, Таможенный кодекс Евразийского экономического союза.pdf:page_25, Таможенный кодекс Евразийского экономического союза.pdf:page_31"
Что такое процессуальное решение по определению статьи 33?,нет в документах,"Арбитражный процессуальный кодекс Российской Федерации.pdf:page_126, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_84, Гражданский процессуальный кодекс Российской Федерации.pdf:page_123, Гражданский процессуальный кодекс Российской Федерации.pdf:page_61, Кодекс административного судопроизводства Российской Федерации.pdf:page_141"
Что означает знак 5.22?,нет в документах,"ПДД Российской Федерации.pdf:page_27, ПДД Российской Федерации.pdf:page_41, ПДД Российской Федерации.pdf:page_44, ПДД Российской Федерации.pdf:page_47, ПДД Российской Федерации.pdf:page_50"
"Какие требования ГОСТ или СНиП регулируют проектирование кладбища площадью до 0,5 га?",нет в документах,"Data1_10_10865_index.pdf:page_24, Data1_11_11285_index.pdf:page_25, Data1_11_11835_index.pdf:page_14, Data1_11_11835_index.pdf:page_15, Data1_2_2096_index.pdf:page_4"
Какие ГОСТы или СНиПы регламентируют расчет затрат на эксплуатацию строительных машин?,нет в документах,"Data1_10_10848_index.pdf:page_5, Data1_2_2076_index.pdf:page_4, Data1_2_2076_index.pdf:page_6, Data1_2_2079_index.pdf:page_6, Data1_2_2117_index.pdf:page_2"
Какие требования МДС 14-13.2000 предъявляет к площади прочих помещений?,нет в документах,"Data1_10_10847_index.pdf:page_1, Data1_10_10861_index.pdf:page_1, Data1_10_10863_index.pdf:page_1, Data1_10_10865_index.pdf:page_20, Data1_1_1879_index.pdf:page_1"
Какие преступления относятся к уголовным делам частного обвинения?,"Уголовные дела о преступлениях, предусмотренных **статьями 115 частью первой, 116.1 частью первой и 128.1 частью первой УК РФ**, считаются уголовными делами **частного обвинения**.","Уголовно-процессуальный кодекс Российской Федерации.pdf:page_103, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_12, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_13, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_207, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_23"
Что должно содержать пояснительная записка к схеме районной планировки? (ГОСТ МДС 11-7.2000),Нет в документах,"Data1_1_1904_index.pdf:page_1, Data1_1_1904_index.pdf:page_11, Data1_1_1904_index.pdf:page_14, Data1_1_1904_index.pdf:page_20, Data1_1_1904_index.pdf:page_9"
Какие министерства и ведомства утверждают ценники на медицинское оборудование согласно ГОСТ МДС 81-8.2000?,Минздрав СССР — **Оборудование медицинское**.,"Data1_10_10754_index.pdf:page_1, Data1_10_10864_index.pdf:page_1, Data1_10_10864_index.pdf:page_16, Data1_10_10864_index.pdf:page_21, Data1_2_2073_index.pdf:page_1"
Какие разделы включены в проектные работы для трибун с подтрибунными помещениями согласно СНиП?,"Для трибун с подтрибунными помещениями в контексте указаны следующие разделы проектных работ (графы таблицы):

- Архитектурно-строительная часть  
- Водопровод и канализация  
- Отопление и вентиляция  
- Электроснабжение и электорооборудование  
- Холодоснабжение  
- Водоподготовка  
- Средства связи и сигнализации  
- Организация и условия труда работников, управление предприятием  
- Механизация и автоматизация  
- Технико-экономические показатели","Data1_10_10846_index.pdf:page_30, Data1_11_11835_index.pdf:page_24, Data1_11_11835_index.pdf:page_7, Data1_11_11835_index.pdf:page_9, Data1_2_2082_index.pdf:page_5"
Какой метод следует использовать для измерения крена зданий и сооружений сложной геометрической формы в СНиП 3.01.03-84?,"Для измерения крена зданий и сооружений следует применять методы проецирования, координирования, измерения углов или направлений, фотограмметрии, механические способы с применением кренометров, прямые и обратные отвесы, а также их комбинирование.","Data1_11_11285_index.pdf:page_17, Data1_11_11285_index.pdf:page_4, Data1_11_11285_index.pdf:page_71, Data1_11_11285_index.pdf:page_73, Data1_11_11285_index.pdf:page_75"
Какие операции включаются в управление остатками средств на едином счете бюджета территориального внебюджетного фонда?,"В документах указано, что в управление остатками средств на едином счете бюджета включаются **«другие операции по управлению остатками средств на едином счете федерального бюджета, осуществляемые в порядке, установленном Правительством Российской Федерации»**.

Иных конкретных операций именно для **единого счета бюджета территориального внебюджетного фонда** в предоставленном фрагменте нет.","Бюджетный кодекс Российской Федерации.pdf:page_326, Бюджетный кодекс Российской Федерации.pdf:page_330, Бюджетный кодекс Российской Федерации.pdf:page_331, Бюджетный кодекс Российской Федерации.pdf:page_368, Бюджетный кодекс Российской Федерации.pdf:page_381"
